backbone,dataset,pred_len,plugin,seed,cell_id,mse,mae,val_mse,best_epoch,epochs_run,ms_per_iter,train_seconds,n_params,extra_params,peak_mem_mib,batch_size,seq_len,use_amp,device,plugin_kind,n_train_windows,probe,source,timestamp,status,seg1_mse,seg2_mse,seg3_mse,seg4_mse,tag,n_test_windows,n_val_windows
iTransformer,ETTh1,336,none,2023,iTransformer__ETTh1__h336__none__s2023,0.4884048845509778,0.46168664493517203,1.284366226038242,0,4,13.669490814208984,25.6,4957008,0,132.1083984375,32,96,False,cuda:0,io,8209,False,measured,2026-09-09 04:13:50,ok,0.3874832427818887,0.4793640015494042,0.5413628562253864,0.545409435307752,,,
iTransformer,ETTh1,336,san_lite,2021,iTransformer__ETTh1__h336__san_lite__s2021,0.5076469334817669,0.4695140743743777,1.2926830497056387,1,5,23.621559143066406,55.0,4957008,0,132.1083984375,32,96,False,cuda:0,io,8209,False,measured,2026-09-09 15:21:13,ok,0.3895063051366737,0.4970800766347684,0.5768996829817565,0.567101665138569,,,
iTransformer,ETTh1,336,san_lite,2022,iTransformer__ETTh1__h336__san_lite__s2022,0.5082890194426555,0.46867269059668315,1.301025089132227,1,5,21.22211456298828,50.5,4957008,0,132.1083984375,32,96,False,cuda:0,io,8209,False,measured,2026-09-09 15:22:04,ok,0.39071061694309606,0.5014574453783336,0.5746338488196157,0.5663541692775035,,,
iTransformer,ETTh1,336,san_lite,2023,iTransformer__ETTh1__h336__san_lite__s2023,0.5092166102496684,0.4697311051216287,1.2952680461305348,1,5,21.748781204223633,51.2,4957008,0,132.1083984375,32,96,False,cuda:0,io,8209,False,measured,2026-09-09 15:22:19,ok,0.3871922469433207,0.4987949637762042,0.5782677682621901,0.572611475819955,,,
iTransformer,ETTh1,720,fredf,2021,iTransformer__ETTh1__h720__fredf__s2021,0.4741535407479406,0.4663087748698749,1.5528599610106653,9,10,14.649748802185059,61.9,5154000,0,135.76513671875,32,96,False,cuda:0,loss,7825,False,measured,2026-09-09 04:41:42,ok,0.4122794677871419,0.4695677766226011,0.4688846816643099,0.5458822426260396,,,
iTransformer,ETTh1,720,fredf,2022,iTransformer__ETTh1__h720__fredf__s2022,0.47587760290420733,0.46743445999794336,1.5543831727025994,9,10,14.607787132263184,62.0,5154000,0,135.76513671875,32,96,False,cuda:0,loss,7825,False,measured,2026-09-09 04:42:52,ok,0.41522893721724796,0.4700965681083264,0.47051806006932395,0.5476668518815768,,,
iTransformer,ETTh1,720,fredf,2023,iTransformer__ETTh1__h720__fredf__s2023,0.47468267152346244,0.46648664857447686,1.555508406286267,9,10,14.675736427307129,62.0,5154000,0,135.76513671875,32,96,False,cuda:0,loss,7825,False,measured,2026-09-09 04:44:02,ok,0.4126033795725498,0.4701404813575091,0.46959918273149964,0.5463876335062393,,,
iTransformer,ETTh1,720,none,2021,iTransformer__ETTh1__h720__none__s2021,0.5217474008688245,0.5005854554700756,1.557450216494559,0,4,14.079809188842773,25.1,5154000,0,136.3798828125,32,96,False,cuda:0,io,7825,False,measured,2026-09-09 03:08:00,ok,0.43287306058729325,0.507006855783912,0.5245204941039054,0.6225891771409904,,,
iTransformer,ETTh1,720,none,2022,iTransformer__ETTh1__h720__none__s2022,0.4956162538109056,0.48412585114146983,1.5668926411475435,0,4,14.060616493225098,24.9,5154000,0,136.3798828125,32,96,False,cuda:0,io,7825,False,measured,2026-09-09 03:08:33,ok,0.4242194799104339,0.49149555619191343,0.48636201794341194,0.5803879525071776,,,
iTransformer,ETTh1,720,none,2023,iTransformer__ETTh1__h720__none__s2023,0.49497919423992603,0.4817281231149187,1.5488329338223412,0,4,14.116048812866211,25.0,5154000,0,136.3798828125,32,96,False,cuda:0,io,7825,False,measured,2026-09-09 03:09:06,ok,0.42692812782165657,0.4931498918388813,0.48659154766537216,0.5732472063775451,,,
iTransformer,ETTh1,720,revin,2021,iTransformer__ETTh1__h720__revin__s2021,0.5217491554003649,0.5005865780546466,1.557463506030883,0,4,14.219284057617188,25.1,5154000,0,136.3798828125,32,96,False,cuda:0,io,7825,False,measured,2026-09-09 04:35:08,ok,0.4328736442386647,0.50700869511102,0.5245227445764917,0.6225915460174727,,,
iTransformer,ETTh1,720,san_lite,2021,iTransformer__ETTh1__h720__san_lite__s2021,0.5078599806648616,0.49000428604941126,1.561080918248643,0,4,20.23184299468994,35.5,5154000,0,136.3798828125,32,96,False,cuda:0,io,7825,False,measured,2026-09-09 15:26:23,ok,0.4282094627689933,0.4961136381264832,0.5059409211884192,0.6011758868248422,,,
iTransformer,ETTh1,720,san_lite,2022,iTransformer__ETTh1__h720__san_lite__s2022,0.4859488015215389,0.4760349031842897,1.563331564742587,0,4,20.390987396240234,35.7,5154000,0,136.3798828125,32,96,False,cuda:0,io,7825,False,measured,2026-09-09 15:27:13,ok,0.4232027658387837,0.4829252832641263,0.47555014341854,0.5621170141166953,,,
iTransformer,ETTh1,720,san_lite,2023,iTransformer__ETTh1__h720__san_lite__s2023,0.5093828656237146,0.4898992336527585,1.5699901324457555,0,4,20.128607749938965,35.7,5154000,0,136.3798828125,32,96,False,cuda:0,io,7825,False,measured,2026-09-09 15:28:03,ok,0.4349838963676984,0.5016778976856693,0.5033448731409879,0.5975247823063288,,,
iTransformer,ETTh1,96,fredf,2021,iTransformer__ETTh1__h96__fredf__s2021,0.38092473599098886,0.39936538463761134,0.6748705768153088,2,6,13.69333267211914,38.3,4833888,0,129.94287109375,32,96,False,cuda:0,loss,8449,False,measured,2026-09-09 03:31:06,ok,0.3066122480179018,0.372716938092718,0.40942214980262537,0.4349476041127532,,,
iTransformer,ETTh1,96,fredf,2022,iTransformer__ETTh1__h96__fredf__s2022,0.38334317826568404,0.4014446680225999,0.6814232252821654,3,7,14.020085334777832,45.1,4833888,0,129.94287109375,32,96,False,cuda:0,loss,8449,False,measured,2026-09-09 03:31:59,ok,0.306724239289544,0.37837243004851473,0.4123197094596794,0.43595632685251573,,,
iTransformer,ETTh1,96,fredf,2023,iTransformer__ETTh1__h96__fredf__s2023,0.38162144467475384,0.39981268859678043,0.6822784956229021,3,7,13.958334922790527,45.2,4833888,0,129.94287109375,32,96,False,cuda:0,loss,8449,False,measured,2026-09-09 03:32:53,ok,0.30688480678749913,0.3747464745253964,0.40979284274941136,0.43506164746755505,,,
iTransformer,ETTh1,96,none,2021,iTransformer__ETTh1__h96__none__s2021,0.3906148084608053,0.4107882846448425,0.6825721657886621,1,5,13.386964797973633,32.4,4833888,0,130.0244140625,32,96,False,cuda:0,io,8449,False,measured,2026-09-08 22:55:41,ok,0.3146244685047029,0.3850576511340981,0.421226424010829,0.4415506787138881,,,
iTransformer,ETTh1,96,none,2022,iTransformer__ETTh1__h96__none__s2022,0.3936976038758404,0.40808859297869865,0.6891417697972698,0,4,13.412952423095703,26.3,4833888,0,130.0244140625,32,96,False,cuda:0,io,8449,False,measured,2026-09-08 22:56:15,ok,0.3206852481102768,0.3813449263887512,0.41975405779371017,0.4530061925389354,,,
iTransformer,ETTh1,96,none,2023,iTransformer__ETTh1__h96__none__s2023,0.3912497129829213,0.4066601470320451,0.6857738448237011,0,4,13.467669486999512,26.4,4833888,0,130.0244140625,32,96,False,cuda:0,io,8449,False,measured,2026-09-08 22:56:50,ok,0.32035668333609385,0.38087243851338903,0.4172629560025836,0.4465067770305346,,,
iTransformer,ETTh1,96,revin,2021,iTransformer__ETTh1__h96__revin__s2021,0.3906164390261972,0.41078876483294663,0.682576306237006,1,5,13.497471809387207,32.2,4833888,0,130.0244140625,32,96,False,cuda:0,io,8449,False,measured,2026-09-09 03:26:24,ok,0.31462653556627956,0.3850600432229379,0.4212283031751262,0.44155087134117466,,,
iTransformer,ETTh1,96,san_lite,2021,iTransformer__ETTh1__h96__san_lite__s2021,0.40630432439378317,0.4132109443662594,0.714498112949131,4,8,18.722891807556152,70.0,4833888,0,130.0244140625,32,96,False,cuda:0,io,8449,False,measured,2026-09-09 15:13:08,ok,0.3282914031099509,0.4003300063491837,0.43318083203169416,0.46341504361558106,,,
iTransformer,ETTh1,96,san_lite,2022,iTransformer__ETTh1__h96__san_lite__s2022,0.4103335983969059,0.41632797593101023,0.714687683827512,3,7,18.63408088684082,61.7,4833888,0,130.0244140625,32,96,False,cuda:0,io,8449,False,measured,2026-09-09 15:13:43,ok,0.3333104930897323,0.4042970958466631,0.4377511065210329,0.46597569543220435,,,
iTransformer,ETTh1,96,san_lite,2023,iTransformer__ETTh1__h96__san_lite__s2023,0.40141955600127693,0.40750509605169644,0.7179212776465203,1,5,17.923593521118164,43.4,4833888,0,130.0244140625,32,96,False,cuda:0,io,8449,False,measured,2026-09-09 15:13:25,ok,0.3257229762251523,0.3931047743161035,0.42721165196812133,0.45963881208714313,,,
iTransformer,ETTh2,192,fredf,2021,iTransformer__ETTh2__h192__fredf__s2021,0.3720211101065118,0.3938216281339562,0.2782597070367786,2,6,14.03045654296875,39.0,4883136,0,130.69482421875,32,96,False,cuda:0,loss,8353,False,measured,2026-09-09 03:11:24,ok,0.23137132503562097,0.35453889513395104,0.4164489871647821,0.48572523437309645,,,
iTransformer,ETTh2,192,fredf,2022,iTransformer__ETTh2__h192__fredf__s2022,0.37481511431892656,0.39401589185735697,0.27546496157306805,1,5,14.145135879516602,32.9,4883136,0,130.69482421875,32,96,False,cuda:0,loss,8353,False,measured,2026-09-09 03:12:05,ok,0.2424650949440723,0.35566786811159207,0.41579596531589796,0.4853315428615801,,,
iTransformer,ETTh2,192,fredf,2023,iTransformer__ETTh2__h192__fredf__s2023,0.3701851736414365,0.3904491677482089,0.2793349274901798,5,9,14.248132705688477,58.2,4883136,0,130.69482421875,32,96,False,cuda:0,loss,8353,False,measured,2026-09-09 03:13:11,ok,0.23127560856357907,0.3539327632629037,0.41422561736794145,0.48130671061486613,,,
iTransformer,ETTh2,192,none,2021,iTransformer__ETTh2__h192__none__s2021,0.39029166428620476,0.40513209735596295,0.28680918164308883,0,4,13.641715049743652,25.8,4883136,0,130.8583984375,32,96,False,cuda:0,io,8353,False,measured,2026-09-09 02:58:22,ok,0.2665703456046155,0.3692199553347077,0.42793830136394745,0.49743805395107393,,,
iTransformer,ETTh2,192,none,2022,iTransformer__ETTh2__h192__none__s2022,0.3829318940999431,0.4016495990082702,0.2815851234330381,0,4,13.583064079284668,25.9,4883136,0,130.8583984375,32,96,False,cuda:0,io,8353,False,measured,2026-09-09 02:58:56,ok,0.25271357254350274,0.36115024644266575,0.4237390702651072,0.4941246877957874,,,
iTransformer,ETTh2,192,none,2023,iTransformer__ETTh2__h192__none__s2023,0.3847200983793246,0.4026825593980351,0.2804662873301685,0,4,13.480663299560547,25.7,4883136,0,130.8583984375,32,96,False,cuda:0,io,8353,False,measured,2026-09-09 02:59:30,ok,0.2470892151468217,0.3671571755677767,0.427551107284101,0.4970828821945707,,,
iTransformer,ETTh2,192,san_lite,2021,iTransformer__ETTh2__h192__san_lite__s2021,0.3917380935206066,0.40401290298135223,0.2871285261141238,1,5,20.7974910736084,49.4,4883136,0,130.8583984375,32,96,False,cuda:0,io,8353,False,measured,2026-09-09 15:11:38,ok,0.25400858269492127,0.37328802665733846,0.43691190568388416,0.5027438562649237,,,
iTransformer,ETTh2,192,san_lite,2022,iTransformer__ETTh2__h192__san_lite__s2022,0.38460387336468715,0.4004454670574901,0.28722770020412425,0,4,21.149277687072754,40.0,4883136,0,130.8583984375,32,96,False,cuda:0,io,8353,False,measured,2026-09-09 15:11:43,ok,0.2518199138869219,0.36422229208849477,0.4255933914970263,0.4967799013272638,,,
iTransformer,ETTh2,192,san_lite,2023,iTransformer__ETTh2__h192__san_lite__s2023,0.38415312103734633,0.4029234389125236,0.2840236189742464,0,4,20.467281341552734,39.2,4883136,0,130.8583984375,32,96,False,cuda:0,io,8353,False,measured,2026-09-09 15:12:31,ok,0.24995661819723694,0.36312180200177085,0.42712846412075445,0.496405611967031,,,
iTransformer,ETTh2,336,fredf,2021,iTransformer__ETTh2__h336__fredf__s2021,0.40880391770803054,0.42349609303216007,0.36613147947123964,4,8,14.307260513305664,51.2,4957008,0,131.82177734375,32,96,False,cuda:0,loss,8209,False,measured,2026-09-09 03:57:02,ok,0.25843472549345997,0.400364706340789,0.47417227157337455,0.5022439741504243,,,
iTransformer,ETTh2,336,fredf,2022,iTransformer__ETTh2__h336__fredf__s2022,0.4106687629158982,0.42518414617351113,0.365989125938778,1,5,14.33718204498291,32.5,4957008,0,131.82177734375,32,96,False,cuda:0,loss,8209,False,measured,2026-09-09 03:57:43,ok,0.2633518658119848,0.3997190871881796,0.47892285567320414,0.5006812248692905,,,
iTransformer,ETTh2,336,fredf,2023,iTransformer__ETTh2__h336__fredf__s2023,0.41743479496050784,0.4271289223687695,0.3665548444981197,1,5,14.303922653198242,32.5,4957008,0,131.82177734375,32,96,False,cuda:0,loss,8209,False,measured,2026-09-09 03:58:24,ok,0.2659555937037704,0.40399554847672003,0.4889159120397541,0.5108721337344485,,,
iTransformer,ETTh2,336,none,2021,iTransformer__ETTh2__h336__none__s2021,0.4285814988052794,0.43822372508103496,0.37117459802790836,0,4,13.510465621948242,25.4,4957008,0,132.1083984375,32,96,False,cuda:0,io,8209,False,measured,2026-09-09 03:45:35,ok,0.27583647073434453,0.4180824538115763,0.495253986754882,0.5251530769426608,,,
iTransformer,ETTh2,336,none,2022,iTransformer__ETTh2__h336__none__s2022,0.4405124452268552,0.4411860225809995,0.3774348252892451,0,4,13.609170913696289,25.5,4957008,0,132.1083984375,32,96,False,cuda:0,io,8209,False,measured,2026-09-09 03:46:09,ok,0.2959385169147784,0.42224756233222777,0.513036863194904,0.5308268245831718,,,
iTransformer,ETTh2,336,none,2023,iTransformer__ETTh2__h336__none__s2023,0.45038578945073393,0.44356203361286806,0.37065828039720616,0,4,13.744711875915527,25.5,4957008,0,132.1083984375,32,96,False,cuda:0,io,8209,False,measured,2026-09-09 03:46:42,ok,0.29794586812854157,0.4304052322468452,0.5256646422269967,0.5475274253713321,,,
iTransformer,ETTh2,336,san_lite,2021,iTransformer__ETTh2__h336__san_lite__s2021,0.42656809597016143,0.4353770427179498,0.36807101347722293,0,4,21.26932144165039,40.7,4957008,0,132.1083984375,32,96,False,cuda:0,io,8209,False,measured,2026-09-09 15:18:58,ok,0.2783500769618118,0.41444122043338555,0.49608980854191403,0.51739127847312,,,
iTransformer,ETTh2,336,san_lite,2022,iTransformer__ETTh2__h336__san_lite__s2022,0.4388724692520442,0.4405571509113069,0.3731432115665366,1,5,21.586894989013672,50.7,4957008,0,132.1083984375,32,96,False,cuda:0,io,8209,False,measured,2026-09-09 15:19:34,ok,0.2815089162400423,0.4213093596867407,0.5112413657558692,0.5414302391623103,,,
iTransformer,ETTh2,336,san_lite,2023,iTransformer__ETTh2__h336__san_lite__s2023,0.447332352382221,0.4421484819734469,0.3679121333116989,1,5,21.320223808288574,51.2,4957008,0,132.1083984375,32,96,False,cuda:0,io,8209,False,measured,2026-09-09 15:20:04,ok,0.2771048614307504,0.4277775313807918,0.5225970187855773,0.5618500007485724,,,
iTransformer,ETTh2,720,fredf,2021,iTransformer__ETTh2__h720__fredf__s2021,0.41746908536586413,0.439431294854606,0.6081928711045096,4,8,14.575004577636719,49.6,5154000,0,135.76513671875,32,96,False,cuda:0,loss,7825,False,measured,2026-09-09 04:24:24,ok,0.30438409095027885,0.40738150093131176,0.39341667456250823,0.5646940773726692,,,
iTransformer,ETTh2,720,fredf,2022,iTransformer__ETTh2__h720__fredf__s2022,0.4182757347384161,0.43970759232709355,0.6083805227717822,3,7,14.632701873779297,43.8,5154000,0,135.76513671875,32,96,False,cuda:0,loss,7825,False,measured,2026-09-09 04:25:16,ok,0.30435924834254086,0.4096447185007294,0.3942230700359016,0.5648758821809725,,,
iTransformer,ETTh2,720,fredf,2023,iTransformer__ETTh2__h720__fredf__s2023,0.41920884335255487,0.4396538366655373,0.6079301221159691,9,10,14.617323875427246,61.8,5154000,0,135.76513671875,32,96,False,cuda:0,loss,7825,False,measured,2026-09-09 04:26:26,ok,0.30528500417589416,0.40983471079178724,0.39436902213012387,0.5673466151833966,,,
iTransformer,ETTh2,720,none,2021,iTransformer__ETTh2__h720__none__s2021,0.4349385179977062,0.4477072171327896,0.607199094684679,0,4,13.978123664855957,24.8,5154000,0,136.3798828125,32,96,False,cuda:0,io,7825,False,measured,2026-09-09 03:13:44,ok,0.32098882321568245,0.4282218440622764,0.41198436516993175,0.5785590381135751,,,
iTransformer,ETTh2,720,none,2022,iTransformer__ETTh2__h720__none__s2022,0.4283118931157175,0.4469355740178755,0.6140950542352527,0,4,14.076709747314453,24.9,5154000,0,136.3798828125,32,96,False,cuda:0,io,7825,False,measured,2026-09-09 03:14:17,ok,0.3228283612604814,0.4101693875661294,0.4024712970115778,0.5777785118831233,,,
