block,method,n_seeds_method,n_seeds_control,gain_abs,rel_gain_pct,seed_sd_method,seed_sd_control,noise_scale,gain_over_noise,within_noise
Electricity|96|DLinear,san_lite,1,1,-0.024472683010811902,-12.245973259326362,,,,,
Electricity|96|PatchTST,san_lite,1,1,-0.02257246063140969,-11.733886908981468,,,,,
Electricity|96|TimesNet,san_lite,1,1,-0.004967080392353496,-2.78461803969397,,,,,
Electricity|96|iTransformer,san_lite,1,1,-0.014007114469842402,-8.866425985289329,,,,,
Electricity|192|DLinear,san_lite,1,1,-0.01969947064364322,-9.87562068759348,,,,,
Electricity|192|PatchTST,san_lite,1,1,-0.016909932737093708,-8.6236967748718,,,,,
Electricity|192|TimesNet,san_lite,1,1,-0.009113766754973579,-4.714143608583205,,,,,
Electricity|192|iTransformer,san_lite,1,1,-0.01144425673675109,-6.716541471401218,,,,,
Electricity|336|DLinear,san_lite,1,1,-0.021891613733709292,-10.299982408254609,,,,,
Electricity|336|PatchTST,san_lite,1,1,-0.016550623147087717,-7.8061142867351325,,,,,
Electricity|336|TimesNet,san_lite,1,1,-0.04985015753755531,-23.704238823546085,,,,,
Electricity|336|iTransformer,san_lite,1,1,-0.012585662222265592,-6.711908037658955,,,,,
Electricity|720|DLinear,san_lite,1,1,-0.027144598244874696,-10.953388546352777,,,,,
Electricity|720|PatchTST,san_lite,1,1,-0.01580645978909978,-6.218828128603168,,,,,
Electricity|720|TimesNet,san_lite,1,1,-0.00068926140015102,-0.2321202876212528,,,,,
Electricity|720|iTransformer,san_lite,1,1,-0.011981787458259813,-5.338523631929759,,,,,
Exchange|96|DLinear,san_lite,3,3,-0.00841549514401492,-8.798810950714376,0.00019779995140242475,0.0028357124100209696,0.002842602626664821,2.960489470133461,False
Exchange|96|PatchTST,san_lite,3,3,-0.0035720064707483457,-4.211770218483315,0.000271419010334137,0.0007906646555516657,0.0008359538723574384,4.2729707808818205,False
Exchange|96|TimesNet,san_lite,3,3,0.008894396174753197,7.563668478016204,0.003943608054265993,0.006673664192322252,0.007751763556607995,1.147402924483057,False
Exchange|96|iTransformer,san_lite,3,3,-0.0011670168050845336,-1.2179916538158704,0.001370955711054646,0.004677498274737927,0.004874270168122571,0.23942390651973955,True
Exchange|192|DLinear,san_lite,3,3,-0.012264997451293835,-6.595692977312203,1.586838321360555e-05,0.0007792291456925711,0.0007793907024609595,15.73664840056031,False
Exchange|192|PatchTST,san_lite,3,3,-0.0022257000872172306,-1.2261652287481808,0.0024226430232363537,0.00514528265341089,0.005687102320296935,0.39135924797305605,True
Exchange|192|TimesNet,san_lite,3,3,0.00415006735945378,1.8935924800970096,0.0035771286544429314,0.008956234304507683,0.009644168306685493,0.4303188442467233,True
Exchange|192|iTransformer,san_lite,3,3,-0.002655672631472289,-1.3918678331654262,0.0008138529639927376,0.003469011595120221,0.003563200540816964,0.7453054076107098,True
Exchange|336|DLinear,san_lite,3,3,-0.02293192910311792,-7.098422971640758,7.012498354480202e-05,0.003735279143548071,0.0037359373380106862,6.1381996078469365,False
Exchange|336|PatchTST,san_lite,3,3,-0.009426069301906093,-2.8487909194503556,0.004228675641410716,0.0019521633602798568,0.004657535771787424,2.02383186383744,False
Exchange|336|TimesNet,san_lite,3,3,0.010194225442933635,2.5671912101105265,0.024655027437034762,0.010516680227819184,0.02680430825324802,0.3803204076978315,True
Exchange|336|iTransformer,san_lite,3,3,-0.016130670329205565,-4.802452137473709,0.012844125659303873,0.0034864945859560425,0.013308914623284986,1.2120199720106175,False
Exchange|720|DLinear,san_lite,3,3,-0.11645038646873984,-15.219610071703368,0.00026010819724622624,0.014817027965381641,0.014819310847714083,7.85801631839733,False
Exchange|720|PatchTST,san_lite,3,3,-0.030129128136276773,-3.5498279933668115,0.0025902703493937613,0.008549656787120231,0.008933427766568637,3.3726279456837744,False
Exchange|720|TimesNet,san_lite,3,3,0.020859785866938596,1.9972919047163824,0.03326983611871672,0.05489756570705826,0.06419209231616498,0.324958809010275,True
Exchange|720|iTransformer,san_lite,3,3,-0.06991735840976843,-8.13845683391641,0.03306094095805477,0.02157304128221654,0.03947685305588836,1.7710975672449039,False
ILI|24|DLinear,san_lite,3,3,-0.4865293686240779,-10.18872141599666,0.002794161158475967,0.0069022861784500174,0.007446401215940348,65.3375173476518,False
ILI|24|PatchTST,san_lite,3,3,-0.4187141568052999,-14.542318181250385,0.05281788042182641,0.03471941099723866,0.06320732546350566,6.624456164452885,False
ILI|24|TimesNet,san_lite,3,3,-0.6576102519458304,-21.946969995963155,0.19966084612353252,0.24412491701833483,0.31537506018068995,2.085168851237195,False
ILI|24|iTransformer,san_lite,3,3,-0.12031271085908335,-5.054821222317234,0.046315791930141625,0.08588318295067579,0.09757598934089995,1.2330155366270326,False
ILI|36|DLinear,san_lite,3,3,-0.663847072183084,-15.100616503834397,0.016460636460580505,0.01573011257802947,0.02276815746618231,29.156820140984195,False
ILI|36|PatchTST,san_lite,3,3,-0.6710114246889862,-23.99946701768082,0.0362011206323754,0.05149081477893291,0.06294303092192313,10.660615080982256,False
ILI|36|TimesNet,san_lite,3,3,-0.8253723271253501,-29.96998633351599,0.11112469120040926,0.22180234093326898,0.24808259801498453,3.3270061412187264,False
ILI|36|iTransformer,san_lite,3,3,-0.43322215949879883,-19.409037404914034,0.020812558078079604,0.03688803779278984,0.042354337510528105,10.22851931968271,False
ILI|48|DLinear,san_lite,3,3,-0.5109557242827929,-12.471948578872649,0.008594761957881338,0.023970354040905528,0.02546463834337728,20.065304576205765,False
ILI|48|PatchTST,san_lite,3,3,-0.6137815485002682,-22.444954627143566,0.039703953803606466,0.02512246607325402,0.04698448945386888,13.063492987465615,False
ILI|48|TimesNet,san_lite,3,3,-0.8018684760465082,-29.54795016862587,0.19370721257195112,0.1748909950964607,0.2609776702482902,3.0725558829750557,False
ILI|48|iTransformer,san_lite,3,3,-0.3440928532782257,-15.081595155592398,0.014985964825610645,0.006504614576161783,0.016336742409025606,21.062513239366726,False
ILI|60|DLinear,san_lite,3,3,-0.06474498323116507,-1.5497406139662415,0.004398146673395854,0.05351429540274274,0.05369472512838403,1.2057978335182808,False
ILI|60|PatchTST,san_lite,3,3,-0.473638417149743,-17.24780729170391,0.05074478406219801,0.037076478913883146,0.06284662598875716,7.536417583252181,False
ILI|60|TimesNet,san_lite,3,3,-0.8054131199471386,-29.81431764923233,0.38985393263073703,0.0868764827807428,0.39941658960038695,2.016473879447391,False
ILI|60|iTransformer,san_lite,3,3,-0.2919588430152067,-12.473587304640981,0.024987107973302416,0.017966806395103077,0.030775992216475978,9.486577750656762,False
Weather|96|DLinear,san_lite,1,1,-0.005789752838291917,-2.959682881266673,,,,,
Weather|96|PatchTST,san_lite,1,1,-0.0020028284636675053,-1.085872127727032,,,,,
Weather|96|TimesNet,san_lite,1,1,-0.005250890967811006,-3.112823092747102,,,,,
Weather|96|iTransformer,san_lite,1,1,-0.0014422980109308203,-0.8304020724153202,,,,,
Weather|192|DLinear,san_lite,1,1,-0.006135925718345425,-2.568063258669789,,,,,
Weather|192|PatchTST,san_lite,1,1,-0.002985989077358392,-1.2999271767793057,,,,,
Weather|192|TimesNet,san_lite,1,1,-0.007981314643231902,-3.6355466380595067,,,,,
Weather|192|iTransformer,san_lite,1,1,0.00016742654595461315,0.07465281681609767,,,,,
Weather|336|DLinear,san_lite,1,1,-0.014575352266337993,-5.158768446019354,,,,,
Weather|336|PatchTST,san_lite,1,1,-0.0010223687475263699,-0.3580733865800733,,,,,
Weather|336|TimesNet,san_lite,1,1,-0.007873446274788087,-2.8489504024742356,,,,,
Weather|336|iTransformer,san_lite,1,1,-0.000859618476340196,-0.3048552886112383,,,,,
Weather|720|DLinear,san_lite,1,1,-0.024697834099943194,-7.151409257476914,,,,,
Weather|720|PatchTST,san_lite,1,1,-0.0001951062410424642,-0.05400982620901849,,,,,
Weather|720|TimesNet,san_lite,1,1,0.025275341659544426,6.690278695513328,,,,,
Weather|720|iTransformer,san_lite,1,1,-0.0007670583576886991,-0.21244770036836863,,,,,
