block,n_quarters,n_arms_available,argmin_by_quarter,n_distinct_argmin,constant_argmin,whole_horizon_best,n_quarters_where_whole_best_suboptimal,per_leadtime_oracle_mse,best_fixed_arm_mse,control_mse,leadtime_oracle_gain_vs_control_pct,leadtime_oracle_gain_vs_best_fixed_pct
ETTh1|720|TimesNet,4,4,q1:fredf;q2:fredf;q3:fredf;q4:fredf,1,True,fredf,0,0.5187173865351591,0.5187173865351591,0.6141814124597361,15.543294536096916,0.0
ETTh1|720|iTransformer,4,4,q1:fredf;q2:fredf;q3:fredf;q4:fredf,1,True,fredf,0,0.4749046052620305,0.4749046052620305,0.5041142806560411,5.794256682432789,0.0
ETTh1|96|DLinear,4,4,q1:fredf;q2:fredf;q3:fredf;q4:fredf,1,True,fredf,0,0.39079915261001075,0.39079915261001075,0.3960551327840082,1.3270829586404747,0.0
ETTh1|96|PatchTST,4,4,q1:none;q2:revin;q3:revin;q4:revin,2,False,revin,1,0.3835202551100044,0.3836396597558324,0.3850664836893748,0.40154847146283407,0.031124166334624254
ETTh1|96|TimesNet,4,4,q1:fredf;q2:fredf;q3:fredf;q4:fredf,1,True,fredf,0,0.39721927676759233,0.39721927676759233,0.4022608355307825,1.2533058945541768,0.0
ETTh1|96|iTransformer,4,4,q1:fredf;q2:fredf;q3:fredf;q4:fredf,1,True,fredf,0,0.3819631181005095,0.3819631181005095,0.39185404183981604,2.5241346734276675,0.0
ETTh2|192|DLinear,4,4,q1:revin;q2:san_lite;q3:revin;q4:revin,2,False,revin,1,0.37923694404317004,0.37932015525719365,0.4780886303940888,20.676435302265027,0.02193693450515006
ETTh2|192|PatchTST,4,3,q1:none;q2:none;q3:none;q4:san_lite,2,False,none,1,0.37120836780660343,0.3715583605310513,0.3715583605310513,0.09419589534942176,0.09419589534942176
ETTh2|192|TimesNet,4,3,q1:fredf;q2:fredf;q3:fredf;q4:fredf,1,True,fredf,0,0.39759959436581693,0.39759959436581693,0.4316226957469859,7.882602494358425,0.0
ETTh2|192|iTransformer,4,3,q1:fredf;q2:fredf;q3:fredf;q4:fredf,1,True,fredf,0,0.3723404677291569,0.3723404677291569,0.38598121779122313,3.5340450346587824,0.0
ETTh2|336|DLinear,4,4,q1:revin;q2:revin;q3:revin;q4:revin,1,True,revin,0,0.4174135686011262,0.4174135686011262,0.5920543638560264,29.49742556029343,0.0
ETTh2|336|PatchTST,4,3,q1:none;q2:none;q3:san_lite;q4:san_lite,2,False,san_lite,2,0.41063340533140236,0.4129231062830452,0.4150219583665735,1.0574267088043845,0.5545102506502291
ETTh2|336|TimesNet,4,3,q1:san_lite;q2:fredf;q3:fredf;q4:fredf,2,False,fredf,1,0.4326134948138557,0.4351305550214718,0.47484079924171096,8.892939379954177,0.5784609190434582
ETTh2|336|iTransformer,4,3,q1:fredf;q2:fredf;q3:fredf;q4:fredf,1,True,fredf,0,0.41230249158794996,0.41230249158794996,0.439826576936855,6.257940468398894,0.0
ETTh2|720|DLinear,4,4,q1:revin;q2:revin;q3:revin;q4:san_lite,2,False,revin,1,0.41896476137506866,0.4199347162800226,0.8276857277772691,49.38117846973285,0.23097754659254008
ETTh2|720|PatchTST,4,3,q1:none;q2:san_lite;q3:fredf;q4:san_lite,3,False,san_lite,2,0.4195110584703633,0.4199810165171277,0.42604305710308066,1.53317804945169,0.11189983077372079
ETTh2|720|TimesNet,4,3,q1:san_lite;q2:fredf;q3:fredf;q4:none,3,False,san_lite,3,0.4557505770506232,0.4607425648126634,0.4734619330174743,3.740819426384043,1.0834657232222318
ETTh2|720|iTransformer,4,3,q1:fredf;q2:fredf;q3:fredf;q4:fredf,1,True,fredf,0,0.41831788459650954,0.41831788459650954,0.44269132635658437,5.505741881295008,0.0
ETTh2|96|DLinear,4,4,q1:revin;q2:revin;q3:san_lite;q4:revin,2,False,revin,1,0.2939434362594109,0.2942451165525622,0.3451509131015838,14.836257097515393,0.10252686490972468
ETTh2|96|PatchTST,4,3,q1:none;q2:fredf;q3:fredf;q4:fredf,2,False,fredf,1,0.2880861786368926,0.28896468878583254,0.2938661563010859,1.9668742181632246,0.30401989690547504
ETTh2|96|TimesNet,4,3,q1:fredf;q2:fredf;q3:fredf;q4:fredf,1,True,fredf,0,0.30757070640347395,0.30757070640347395,0.33260640587278106,7.527124862075881,0.0
ETTh2|96|iTransformer,4,3,q1:fredf;q2:fredf;q3:san_lite;q4:none,3,False,fredf,2,0.2942403659634888,0.29498361211078417,0.3024575899471532,2.7168185744983866,0.251961843567174
ETTm1|192|DLinear,4,4,q1:none;q2:fredf;q3:none;q4:none,2,False,none,1,0.3816109995180627,0.3818147622333828,0.3818147622333828,0.05336690339791734,0.05336690339791734
ETTm1|192|PatchTST,4,3,q1:none;q2:none;q3:none;q4:none,1,True,none,0,0.3686613634159654,0.3686613634159654,0.3686613634159654,0.0,0.0
ETTm1|192|TimesNet,4,3,q1:fredf;q2:san_lite;q3:none;q4:san_lite,3,False,san_lite,2,0.38011177088298354,0.38666620743582963,0.3868811802539549,1.749738606185967,1.6951149148284081
ETTm1|192|iTransformer,4,3,q1:fredf;q2:fredf;q3:fredf;q4:none,2,False,fredf,1,0.3777162669671543,0.3782014383656685,0.3859548827578222,2.1346059238321415,0.12828385862591007
ETTm1|336|DLinear,4,4,q1:fredf;q2:none;q3:fredf;q4:fredf,2,False,fredf,1,0.41352699767038925,0.41400443984916985,0.41526691486447537,0.418987675590276,0.11532296101813251
ETTm1|336|PatchTST,4,3,q1:none;q2:none;q3:none;q4:none,1,True,none,0,0.4008352776846068,0.4008352776846068,0.4008352776846068,0.0,0.0
ETTm1|336|TimesNet,4,3,q1:fredf;q2:fredf;q3:fredf;q4:fredf,1,True,fredf,0,0.3982594805603938,0.3982594805603938,0.4316473561567632,7.734989018267911,0.0
