protocol,key,backbone,dataset,pred_len,mse_best_fixed_val,mse_selector,abs_mse_delta_vs_bf,rel_pct_delta_vs_bf,worse_than_bf
"static gate (in-pool reg, 96 groups)",iTransformer__ETTm2__h192__s2021,iTransformer,ETTm2,192,0.2447648505203545,0.2544512085206211,0.009686358000266598,3.9574138115313606,True
"static gate (in-pool reg, 96 groups)",iTransformer__ETTm2__h336__s2021,iTransformer,ETTm2,336,0.3028991960282164,0.3093938174894413,0.00649462146122487,2.1441527565559686,True
"static gate (in-pool reg, 96 groups)",iTransformer__ETTm2__h720__s2021,iTransformer,ETTm2,720,0.408847280571653,0.4128778399512449,0.004030559379591903,0.9858349489218438,True
"static gate (in-pool reg, 96 groups)",iTransformer__Electricity__h96__s2021,iTransformer,Electricity,96,0.1579502173756237,0.1607727251492534,0.00282250777362969,1.7869603603757274,True
"static gate (in-pool reg, 96 groups)",iTransformer__Electricity__h192__s2021,iTransformer,Electricity,192,0.1708719270481327,0.1717595744809706,0.0008876474328378958,0.5194811389865437,True
"static gate (in-pool reg, 96 groups)",iTransformer__Electricity__h336__s2021,iTransformer,Electricity,336,0.1873632636999115,0.1894609799209585,0.0020977162210470135,1.1195984632327924,True
"static gate (in-pool reg, 96 groups)",iTransformer__Electricity__h720__s2021,iTransformer,Electricity,720,0.224536934420811,0.2280515761161212,0.003514641695310211,1.5652844394514278,True
"static gate (in-pool reg, 96 groups)",iTransformer__Exchange__h96__s2021,iTransformer,Exchange,96,0.1127056584715759,0.1013398830243157,-0.01136577544726021,-10.084476326560509,False
"static gate (in-pool reg, 96 groups)",iTransformer__Exchange__h192__s2021,iTransformer,Exchange,192,0.1885852384300927,0.1900859581331861,0.0015007197030934005,0.795777928106344,True
"static gate (in-pool reg, 96 groups)",iTransformer__Exchange__h336__s2021,iTransformer,Exchange,336,0.3422649927790294,0.3454658600506444,0.0032008672716150044,0.9352014781370074,True
"static gate (in-pool reg, 96 groups)",iTransformer__Exchange__h720__s2021,iTransformer,Exchange,720,0.8616552551960885,0.8736093056978738,0.011954050501785218,1.387335646094889,True
"static gate (in-pool reg, 96 groups)",iTransformer__ILI__h24__s2021,iTransformer,ILI,24,2.2942722540129634,2.3899950964047627,0.09572284239179929,4.17225297583442,True
"static gate (in-pool reg, 96 groups)",iTransformer__ILI__h36__s2021,iTransformer,ILI,36,2.191627541580532,2.2441789107986643,0.052551369218132304,2.3978239103636163,True
"static gate (in-pool reg, 96 groups)",iTransformer__ILI__h48__s2021,iTransformer,ILI,48,2.2831738360532343,2.2958126147724176,0.012638778719183286,0.5535618234409638,True
"static gate (in-pool reg, 96 groups)",iTransformer__ILI__h60__s2021,iTransformer,ILI,60,2.3185477496972724,2.3185477496972724,0.0,0.0,False
"static gate (in-pool reg, 96 groups)",iTransformer__Weather__h96__s2021,iTransformer,Weather,96,0.1734789650095751,0.1748536717757826,0.0013747067662074897,0.7924342678270033,True
"static gate (in-pool reg, 96 groups)",iTransformer__Weather__h192__s2021,iTransformer,Weather,192,0.2251538383321938,0.2222286731742357,-0.0029251651579580984,-1.299185116996445,False
"static gate (in-pool reg, 96 groups)",iTransformer__Weather__h336__s2021,iTransformer,Weather,336,0.2816475685379204,0.2802544639970463,-0.0013931045408741016,-0.49462686580464377,False
"static gate (in-pool reg, 96 groups)",iTransformer__Weather__h720__s2021,iTransformer,Weather,720,0.359436254928651,0.3599058978707205,0.00046964294206952584,0.13066098247733832,True
"static gate (in-pool clf, 96 groups)",DLinear__ETTh1__h96__s2021,DLinear,ETTh1,96,0.3958420334373813,0.3958900061929247,4.797275554341285e-05,0.012119166609677826,True
"static gate (in-pool clf, 96 groups)",DLinear__ETTh1__h192__s2021,DLinear,ETTh1,192,0.4460673914794897,0.4464113596049593,0.000343968125469607,0.07711124642596134,True
"static gate (in-pool clf, 96 groups)",DLinear__ETTh1__h336__s2021,DLinear,ETTh1,336,0.4867135716327749,0.4875915097932684,0.0008779381604934744,0.18038086703608056,True
"static gate (in-pool clf, 96 groups)",DLinear__ETTh1__h720__s2021,DLinear,ETTh1,720,0.5200704373126226,0.5144016384692283,-0.005668798843394329,-1.0900059754764957,False
"static gate (in-pool clf, 96 groups)",DLinear__ETTh2__h96__s2021,DLinear,ETTh2,96,0.2940500818219711,0.2953204844193783,0.001270402597407183,0.4320361312384644,True
"static gate (in-pool clf, 96 groups)",DLinear__ETTh2__h192__s2021,DLinear,ETTh2,192,0.3793986027498545,0.3725214689615359,-0.006877133788318612,-1.8126407789785275,False
"static gate (in-pool clf, 96 groups)",DLinear__ETTh2__h336__s2021,DLinear,ETTh2,336,0.417351451505905,0.415404127381581,-0.0019473241243240236,-0.46659095524829425,False
"static gate (in-pool clf, 96 groups)",DLinear__ETTh2__h720__s2021,DLinear,ETTh2,720,0.4198238453045591,0.4228430196249833,0.0030191743204242005,0.7191526527593867,True
"static gate (in-pool clf, 96 groups)",DLinear__ETTm1__h96__s2021,DLinear,ETTm1,96,0.3422499922304302,0.3501283205034827,0.007878328273052515,2.301922118890274,True
"static gate (in-pool clf, 96 groups)",DLinear__ETTm1__h192__s2021,DLinear,ETTm1,192,0.3815985321426435,0.392167378709566,0.010568846566922474,2.7696245338207395,True
"static gate (in-pool clf, 96 groups)",DLinear__ETTm1__h336__s2021,DLinear,ETTm1,336,0.4132301282818743,0.4215637802538138,0.008333651971939526,2.016709673757123,True
