backbone,dataset,pred_len,plugin,n_seeds,seeds
iTransformer,ETTh1,96,revin,1,2021
iTransformer,ETTh1,96,san_lite,3,2021|2022|2023
iTransformer,ETTh1,192,fredf,3,2021|2022|2023
iTransformer,ETTh1,192,none,3,2021|2022|2023
iTransformer,ETTh1,192,san_lite,3,2021|2022|2023
iTransformer,ETTh1,336,fredf,3,2021|2022|2023
iTransformer,ETTh1,336,none,3,2021|2022|2023
iTransformer,ETTh1,336,san_lite,3,2021|2022|2023
iTransformer,ETTh1,720,fredf,3,2021|2022|2023
iTransformer,ETTh1,720,none,3,2021|2022|2023
iTransformer,ETTh1,720,revin,1,2021
iTransformer,ETTh1,720,san_lite,3,2021|2022|2023
iTransformer,ETTh2,96,fredf,3,2021|2022|2023
iTransformer,ETTh2,96,none,3,2021|2022|2023
iTransformer,ETTh2,96,san_lite,3,2021|2022|2023
iTransformer,ETTh2,192,fredf,3,2021|2022|2023
iTransformer,ETTh2,192,none,3,2021|2022|2023
iTransformer,ETTh2,192,san_lite,3,2021|2022|2023
iTransformer,ETTh2,336,fredf,3,2021|2022|2023
iTransformer,ETTh2,336,none,3,2021|2022|2023
iTransformer,ETTh2,336,san_lite,3,2021|2022|2023
iTransformer,ETTh2,720,fredf,3,2021|2022|2023
iTransformer,ETTh2,720,none,3,2021|2022|2023
iTransformer,ETTh2,720,san_lite,3,2021|2022|2023
iTransformer,ETTm1,96,fredf,1,2021
iTransformer,ETTm1,96,none,1,2021
iTransformer,ETTm1,96,san_lite,1,2021
iTransformer,ETTm1,192,fredf,1,2021
iTransformer,ETTm1,192,none,1,2021
iTransformer,ETTm1,192,san_lite,1,2021
iTransformer,ETTm1,336,fredf,1,2021
iTransformer,ETTm1,336,none,1,2021
iTransformer,ETTm1,336,san_lite,1,2021
iTransformer,ETTm1,720,fredf,1,2021
iTransformer,ETTm1,720,none,1,2021
iTransformer,ETTm1,720,san_lite,1,2021
iTransformer,ETTm2,96,fredf,1,2021
iTransformer,ETTm2,96,none,1,2021
iTransformer,ETTm2,96,san_lite,1,2021
iTransformer,ETTm2,192,fredf,1,2021
iTransformer,ETTm2,192,none,1,2021
