key,backbone,dataset,pred_len,seed,n_train_datasets,arms,mse_none,mse_gate,mse_best_fixed,mse_oracle,best_fixed_val,gain_gate_vs_none,gain_gate_vs_best_fixed,gain_oracle_vs_none,switch_rate,wilcoxon_p_gate_vs_best_fixed
PatchTST__ETTm2__h336__s2021,PatchTST,ETTm2,336,2021,6,fredf|none|san_lite,0.30318675506152265,0.3048057706839254,0.30318675506152265,0.28648098077013867,none,-0.5339994559026404,-0.5339994559026404,5.510060717506919,0.3048725972284309,0.25614425725176215
PatchTST__Electricity__h336__s2021,PatchTST,Electricity,336,2021,6,fredf|none|san_lite,0.21188246930765017,0.21761986045667966,0.21188246930765017,0.21171302811597204,none,-2.7078177669676897,-2.7078177669676897,0.07996942466783895,0.22233502538071065,1.1834712393085797e-165
PatchTST__Exchange__h336__s2021,PatchTST,Exchange,336,2021,6,fredf|none|san_lite,0.32501362515660714,0.32884767477584975,0.34338404473339645,0.3078456688829888,san_lite,-1.179658119681408,4.2332688954113795,5.282226634435147,0.1658206429780034,9.622290252421098e-27
PatchTST__Weather__h336__s2021,PatchTST,Weather,336,2021,6,fredf|none|san_lite,0.28531355516286294,0.28911556049404497,0.28531355516286294,0.2752195727894238,none,-1.3325708724208474,-1.3325708724208474,3.5378558749660107,0.738827910623285,9.52308897041548e-84
PatchTST__ETTh2__h720__s2021,PatchTST,ETTh2,720,2021,4,fredf|none|san_lite,0.4234164401799206,0.422776346316855,0.42327379780075497,0.39458567585687515,san_lite,0.15117359703654104,0.11752475265027974,6.809080042032947,0.4979176307265155,0.8961906459672185
PatchTST__ETTm1__h720__s2021,PatchTST,ETTm1,720,2021,4,fredf|none|san_lite,0.4627600083010868,0.46712109340157687,0.4627600083010868,0.4505171922553127,none,-0.9424075162612493,-0.9424075162612493,2.6456080530152604,0.1511897046569762,3.0838912498568253e-83
PatchTST__ETTm2__h720__s2021,PatchTST,ETTm2,720,2021,4,fredf|none|san_lite,0.4003962972526909,0.4109492889368256,0.4003962972526909,0.3777029023516698,none,-2.6356366820865818,-2.6356366820865818,5.6677334572458715,0.4688454772706231,1.0139708471535274e-67
PatchTST__Electricity__h720__s2021,PatchTST,Electricity,720,2021,4,fredf|none|san_lite,0.2535597536498769,0.2563526422815737,0.2535597536498769,0.2533730151986162,none,-1.1014715827269226,-1.1014715827269226,0.0736467237295779,0.14732437789033254,1.699810689923958e-88
PatchTST__Exchange__h720__s2021,PatchTST,Exchange,720,2021,4,fredf|none|san_lite,0.8434326423140696,0.8577148767939785,0.8787826002764523,0.7998579394697845,san_lite,-1.6933461859748289,2.3973760376937587,5.166352433868394,0.42355889724310775,4.979482454638791e-29
PatchTST__ETTh2__h96__s2021,PatchTST,ETTh2,96,2021,4,fredf|none|san_lite,0.2869951405032426,0.28780981235246256,0.2869951405032426,0.26598353855298495,none,-0.2838625935577185,-0.2838625935577185,7.321239625639945,0.24919210053859964,0.02403467024364408
PatchTST__ETTm1__h96__s2021,PatchTST,ETTm1,96,2021,4,fredf|none|san_lite,0.32846387507715946,0.3303889332251945,0.32846387507715946,0.3062916126775533,none,-0.5860791076574212,-0.5860791076574212,6.750289478357457,0.043938730853391686,2.197174694447816e-35
PatchTST__ETTm2__h96__s2021,PatchTST,ETTm2,96,2021,4,fredf|none|san_lite,0.17650727943303288,0.17856804163356188,0.17650727943303288,0.1635461168799802,none,-1.1675224994327698,-1.1675224994327698,7.343132019604176,0.2251203501094092,3.396575244998183e-22
PatchTST__Electricity__h96__s2021,PatchTST,Electricity,96,2021,4,fredf|none|san_lite,0.1921811645974956,0.1921821423531271,0.1921811645974956,0.19184193378323391,none,-0.0005087676690676972,-0.0005087676690676972,0.17651616118072858,0.0001936108422071636,0.31731050786291415
PatchTST__Exchange__h96__s2021,PatchTST,Exchange,96,2021,4,fredf|none|san_lite,0.0852682413585725,0.08837607757118957,0.08858746270755236,0.07548313248252861,san_lite,-3.6447757841180914,0.23861744077515284,11.47567807195707,0.7018284106891702,0.2426198367686352
iTransformer__ETTh1__h192__s2021,iTransformer,ETTh1,192,2021,6,fredf|none|san_lite,0.44136865226452837,0.44094146314319865,0.44136865226452837,0.4156408923050869,none,0.09678737244636047,0.09678737244636047,5.829086371989012,0.2432130903681666,1.748491927762036e-05
iTransformer__ETTh2__h192__s2021,iTransformer,ETTh2,192,2021,6,fredf|none|san_lite,0.3902916714393902,0.3840711796680495,0.3758533061584184,0.3508825877916197,fredf,1.5938059217056013,-2.1864576884007736,10.097341688673344,0.753068055039048,2.264633032159383e-56
