key,backbone,dataset,pred_len,mse_random_gate,mse_shuffled_feat_gate,gain_random_vs_none,gain_shuffled_vs_none,gain_random_vs_best_fixed,gain_shuffled_vs_best_fixed,gate_minus_random,gate_minus_shuffled
DLinear__ETTm1__h720__s2021,DLinear,ETTm1,720,0.4784530407813355,0.47377604213856667,-0.9871749997419791,0.0,-0.9871749997419791,0.0,0.3214744556464537,-0.6625270286388271
DLinear__ETTm2__h96__s2021,DLinear,ETTm2,96,0.1872211109391481,0.18264236918531962,4.801881832018231,7.130078670252899,-2.364002738337722,0.13944535612890496,3.4106697403121395,0.9892294063707933
DLinear__ETTm2__h192__s2021,DLinear,ETTm2,192,0.25337517525106656,0.25241598619246947,8.885676932529778,9.230603627423442,-3.0536295831429925,-2.663504884278822,7.516127606656503,7.164685846432995
DLinear__ETTm2__h336__s2021,DLinear,ETTm2,336,0.3151826348214023,0.31211566192227436,14.584688954576222,15.415846560370431,-2.8418051805779743,-1.8410741930857364,5.71821816079466,4.7917677930030615
DLinear__ETTm2__h720__s2021,DLinear,ETTm2,720,0.41259447602585675,0.4069268311642655,23.796516274572948,24.843292971950877,-0.5626987652643527,0.8186907007633061,1.4579786467258689,0.08549313286975024
DLinear__Electricity__h96__s2021,DLinear,Electricity,96,0.19748179225959714,0.19703281392980754,1.1839010506224144,1.4085611904497344,-0.22786982575768816,0.0,0.09450609714420423,-0.13314837773459104
DLinear__Electricity__h192__s2021,DLinear,Electricity,192,0.1961468466885886,0.1961283894536128,1.6678307341552132,1.6770836993924823,-0.009410792097520193,0.0,0.0021992370806448807,-0.00721134805124592
DLinear__Electricity__h336__s2021,DLinear,Electricity,336,0.21015522514321477,0.20981458371060752,1.1146265374454716,1.2749102289743073,-0.1623535535906531,1.3228620777752636e-14,0.04061312439790137,-0.12167449234208078
DLinear__Electricity__h720__s2021,DLinear,Electricity,720,0.24982484695709797,0.246230234418034,-0.8015651409231029,0.6488212975147495,-1.4598583100671068,0.0,0.023176488109188608,-1.4363434780702744
DLinear__Exchange__h96__s2021,DLinear,Exchange,96,0.09290984141288008,0.0947217128932497,1.9170355804019288,0.004280986942597917,-4.773786455488405,-6.817021409720874,-1.2934523977083656,0.6441257133682798
DLinear__Exchange__h192__s2021,DLinear,Exchange,192,0.18336244200441992,0.18668147693381143,-0.921993396583087,-2.7487776472922762,-2.130625802819686,-3.9792874518075,-2.2063872495298487,-0.3892462301958249
DLinear__Exchange__h336__s2021,DLinear,Exchange,336,0.33111945386162867,0.33353729950368105,-1.2706710961609522,-2.0101530200444,-2.2368665459557677,-2.983403662249102,-0.5137628296276673,0.21487161031295934
DLinear__Exchange__h720__s2021,DLinear,Exchange,720,0.8817172627475924,0.8817172627475924,-17.71021104159883,-17.71021104159883,1.2591599048024068e-14,1.2591599048024068e-14,-1.259159904802407e-14,-1.259159904802407e-14
DLinear__ILI__h24__s2021,DLinear,ILI,24,4.784612483136794,4.771578334079069,-0.18616355128446124,0.08676166342229674,0.24786573558196706,0.5196085760754795,2.0991885045999976,1.8317604796235918
DLinear__ILI__h36__s2021,DLinear,ILI,36,4.396982236300842,4.36402454632747,0.3834257207021712,1.130104236753637,-0.7552132125631653,0.0,0.28776141868515726,-0.46527858162343855
DLinear__ILI__h48__s2021,DLinear,ILI,48,4.008537466395391,4.008537466395391,2.484627028053164,2.484627028053164,0.0,0.0,0.0,0.0
DLinear__ILI__h60__s2021,DLinear,ILI,60,4.02952110500478,4.02952110500478,4.893251157472874,4.893251157472874,0.0,0.0,0.0,0.0
DLinear__Weather__h96__s2021,DLinear,Weather,96,0.195928030664316,0.1949168745741856,0.043918963488793226,0.5597777701252189,0.043918963488793226,0.5597777701252189,0.8053260411548477,0.29074104742053086
DLinear__Weather__h192__s2021,DLinear,Weather,192,0.23642163690630308,0.23503512076120558,0.08125484655323267,0.6672373952124938,0.08125484655323267,0.6672373952124938,0.5910114414607295,0.0045792216407944
DLinear__Weather__h336__s2021,DLinear,Weather,336,0.2831047918994355,0.2816174783211264,-0.44475560081847454,0.08293892484528494,-0.44475560081847454,0.08293892484528494,0.5793276935026573,0.05425475851623413
DLinear__Weather__h720__s2021,DLinear,Weather,720,0.3468012105533948,0.34615296449322563,-0.18329240184979514,0.003971721278427123,-0.18329240184979514,0.003971721278427123,0.4323405509939288,0.2458786408600921
PatchTST__ETTh1__h96__s2021,PatchTST,ETTh1,96,0.3904301400078691,0.3839005296662637,-1.7259787172854189,-0.024698681304522706,-1.7259488160723147,-0.02466928016364741,1.0952546768185483,-0.5869765210801126
PatchTST__ETTh1__h192__s2021,PatchTST,ETTh1,192,0.43808962429775633,0.43134833358951374,-1.590743180613217,-0.027472345009291087,-1.590743180613217,-0.027472345009291087,0.9315294833980933,-0.6167536737761589
PatchTST__ETTh1__h336__s2021,PatchTST,ETTh1,336,0.47558389393777417,0.47031003770402,-1.1512373591968144,-0.029548650858381965,-1.1512373591968144,-0.029548650858381965,1.2669620388442033,0.1598118485786201
