key,backbone,dataset,pred_len,n_test_windows,eval_start,n_eval_windows,feedback_window,delay_ratio,delay_windows,delay_feasible,insufficient,gain_vs_none,gain_vs_best_fixed,gain_vs_best_fixed_test,gain_oracle_vs_none
DLinear__ETTh1__h336__s2021,DLinear,ETTh1,336,2545,672,1873,200,1.0,336,True,False,0.4436524718027753,0.6640294055084073,-0.14306459173061628,5.221202952195903
DLinear__ETTh1__h336__s2021,DLinear,ETTh1,336,2545,672,1873,200,2.0,672,True,False,-1.9682530849658835,-1.742537181278074,-2.569184271264138,5.221202952195903
DLinear__ETTh1__h336__s2021,DLinear,ETTh1,336,2545,672,1873,1000,0.0,0,False,False,0.41246260215166514,0.6329085774403508,-0.1744382731545369,5.221202952195903
DLinear__ETTh1__h336__s2021,DLinear,ETTh1,336,2545,672,1873,1000,0.125,42,False,False,-0.1345449363164401,0.08711188938042594,-0.7246695001635434,5.221202952195903
DLinear__ETTh1__h336__s2021,DLinear,ETTh1,336,2545,672,1873,1000,0.25,84,False,False,-0.5928318100295563,-0.3701605250993618,-1.1856572034618822,5.221202952195903
DLinear__ETTh1__h336__s2021,DLinear,ETTh1,336,2545,672,1873,1000,0.5,168,False,False,-0.6637954820224063,-0.44096711261867944,-1.2570390868323382,5.221202952195903
DLinear__ETTh1__h336__s2021,DLinear,ETTh1,336,2545,672,1873,1000,1.0,336,True,False,-0.05520638687524166,0.1662748158032573,-0.6448633835414582,5.221202952195903
DLinear__ETTh1__h336__s2021,DLinear,ETTh1,336,2545,672,1873,1000,2.0,672,True,False,-1.017841029953849,-0.7942289488714352,-1.6131711372259225,5.221202952195903
DLinear__ETTh1__h336__s2021,DLinear,ETTh1,336,2545,672,1873,3000,0.0,0,False,False,0.5444179741004076,0.7645718542994475,-0.04170524643772153,5.221202952195903
DLinear__ETTh1__h336__s2021,DLinear,ETTh1,336,2545,672,1873,3000,0.125,42,False,False,-0.5814386464554095,-0.35879258131798586,-1.1741968963690896,5.221202952195903
DLinear__ETTh1__h336__s2021,DLinear,ETTh1,336,2545,672,1873,3000,0.25,84,False,False,-1.4716053102080555,-1.2469887810598943,-2.0696095939907897,5.221202952195903
DLinear__ETTh1__h336__s2021,DLinear,ETTh1,336,2545,672,1873,3000,0.5,168,False,False,-1.3847171042265884,-1.1602929099408925,-1.9822093283131321,5.221202952195903
DLinear__ETTh1__h336__s2021,DLinear,ETTh1,336,2545,672,1873,3000,1.0,336,True,False,0.2813187134581203,0.502054987545246,-0.3063550342885138,5.221202952195903
DLinear__ETTh1__h336__s2021,DLinear,ETTh1,336,2545,672,1873,3000,2.0,672,True,False,-1.4475883311158015,-1.2230249657119987,-2.0454510752398622,5.221202952195903
DLinear__ETTh1__h336__s2021,DLinear,ETTh1,336,2545,672,1873,1000000000,0.0,0,False,False,0.5444179741004076,0.7645718542994475,-0.04170524643772153,5.221202952195903
DLinear__ETTh1__h336__s2021,DLinear,ETTh1,336,2545,672,1873,1000000000,0.125,42,False,False,-0.5814386464554095,-0.35879258131798586,-1.1741968963690896,5.221202952195903
DLinear__ETTh1__h336__s2021,DLinear,ETTh1,336,2545,672,1873,1000000000,0.25,84,False,False,-1.4716053102080555,-1.2469887810598943,-2.0696095939907897,5.221202952195903
DLinear__ETTh1__h336__s2021,DLinear,ETTh1,336,2545,672,1873,1000000000,0.5,168,False,False,-1.3847171042265884,-1.1602929099408925,-1.9822093283131321,5.221202952195903
DLinear__ETTh1__h336__s2021,DLinear,ETTh1,336,2545,672,1873,1000000000,1.0,336,True,False,0.2813187134581203,0.502054987545246,-0.3063550342885138,5.221202952195903
DLinear__ETTh1__h336__s2021,DLinear,ETTh1,336,2545,672,1873,1000000000,2.0,672,True,False,-1.4475883311158015,-1.2230249657119987,-2.0454510752398622,5.221202952195903
DLinear__ETTh1__h720__s2021,DLinear,ETTh1,720,2161,1080,1081,50,0.0,0,False,False,8.61486485001932,7.686511053978279,1.7210512324851428,9.861492425867768
DLinear__ETTh1__h720__s2021,DLinear,ETTh1,720,2161,1080,1081,50,0.125,90,False,False,6.054813453259683,5.100452873638997,-1.032122570359515,9.861492425867768
DLinear__ETTh1__h720__s2021,DLinear,ETTh1,720,2161,1080,1081,50,0.25,180,False,False,5.161689697666428,4.198256145428493,-1.9926208360232227,9.861492425867768
DLinear__ETTh1__h720__s2021,DLinear,ETTh1,720,2161,1080,1081,50,0.5,360,False,False,6.055205325321514,5.100848726609929,-1.0317011366742128,9.861492425867768
DLinear__ETTh1__h720__s2021,DLinear,ETTh1,720,2161,1080,1081,50,1.0,720,True,False,6.302635746437849,5.350792718126114,-0.7656053253531737,9.861492425867768
DLinear__ETTh1__h720__s2021,DLinear,ETTh1,720,2161,1080,1081,50,2.0,1440,True,True,,,,9.861492425867768
DLinear__ETTh1__h720__s2021,DLinear,ETTh1,720,2161,1080,1081,200,0.0,0,False,False,6.226144645008906,5.273524566860146,-0.8478666802898187,9.861492425867768
DLinear__ETTh1__h720__s2021,DLinear,ETTh1,720,2161,1080,1081,200,0.125,90,False,False,5.274479508606514,4.312191753756404,-1.871322508536088,9.861492425867768
DLinear__ETTh1__h720__s2021,DLinear,ETTh1,720,2161,1080,1081,200,0.25,180,False,False,5.968498134395902,5.0132607037009995,-1.1249492514881587,9.861492425867768
DLinear__ETTh1__h720__s2021,DLinear,ETTh1,720,2161,1080,1081,200,0.5,360,False,False,8.155056283538942,7.222031432107505,1.226556121504293,9.861492425867768
DLinear__ETTh1__h720__s2021,DLinear,ETTh1,720,2161,1080,1081,200,1.0,720,True,False,6.461873713360181,5.511648335127134,-0.5943549358087598,9.861492425867768
DLinear__ETTh1__h720__s2021,DLinear,ETTh1,720,2161,1080,1081,200,2.0,1440,True,True,,,,9.861492425867768
DLinear__ETTh1__h720__s2021,DLinear,ETTh1,720,2161,1080,1081,1000,0.0,0,False,False,7.014537399908433,6.069926363991553,0.0,9.861492425867768
DLinear__ETTh1__h720__s2021,DLinear,ETTh1,720,2161,1080,1081,1000,0.125,90,False,False,7.014537399908433,6.069926363991553,0.0,9.861492425867768
DLinear__ETTh1__h720__s2021,DLinear,ETTh1,720,2161,1080,1081,1000,0.25,180,False,False,7.014537399908433,6.069926363991553,0.0,9.861492425867768
DLinear__ETTh1__h720__s2021,DLinear,ETTh1,720,2161,1080,1081,1000,0.5,360,False,False,7.014537399908433,6.069926363991553,0.0,9.861492425867768
DLinear__ETTh1__h720__s2021,DLinear,ETTh1,720,2161,1080,1081,1000,1.0,720,True,False,6.2455570228132675,5.293134149106951,-0.8269898923903494,9.861492425867768
DLinear__ETTh1__h720__s2021,DLinear,ETTh1,720,2161,1080,1081,1000,2.0,1440,True,True,,,,9.861492425867768
DLinear__ETTh1__h720__s2021,DLinear,ETTh1,720,2161,1080,1081,3000,0.0,0,False,False,7.014537399908433,6.069926363991553,0.0,9.861492425867768
DLinear__ETTh1__h720__s2021,DLinear,ETTh1,720,2161,1080,1081,3000,0.125,90,False,False,7.014537399908433,6.069926363991553,0.0,9.861492425867768
DLinear__ETTh1__h720__s2021,DLinear,ETTh1,720,2161,1080,1081,3000,0.25,180,False,False,7.014537399908433,6.069926363991553,0.0,9.861492425867768
