key,backbone,dataset,pred_len,n_test_windows,feedback_window,delay_windows,eval_start,n_eval_windows,insufficient,best_fixed_val,best_fixed_test,arm_id_mismatch,mse_none,mse_best_fixed,mse_online,mse_online_nodelay,mse_oracle,mse_best_fixed_test,gain_online_vs_none,gain_online_vs_best_fixed,gain_nodelay_vs_best_fixed,gain_oracle_vs_none,oracle_realized_pct,delay_cost_pp,gain_bestfixed_test_vs_val,gain_online_vs_best_fixed_test,switch_rate,n_distinct_choices,wilcoxon_p_online_vs_best_fixed
PatchTST__ETTm2__h192__s2021,PatchTST,ETTm2,192,11329,200,192,192,11137,False,fredf_sqrth_a01,fredf_sqrth_a01,False,0.24487727835738965,0.24458400682641782,0.24607759645722002,0.2418208344840935,0.22781709570909645,0.24458400682641782,-0.4901712841130359,-0.6106652884528566,1.1297436730088621,6.96682957384262,-7.035786922715629,1.7404089614617186,0.0,-0.6106652884528566,0.8166472119960492,10,4.226890690248964e-12
PatchTST__ETTm2__h336__s2021,PatchTST,ETTm2,336,11185,200,336,336,10849,False,fredf_sqrth_a05,none,True,0.3100780744065402,0.3108711163843433,0.31416594311945206,0.3059819323609162,0.2886283542493547,0.3100780744065402,-1.3183353001409215,-1.0598690458667914,1.5727366634366409,6.917522368574136,-19.057911631317207,2.6326057093034323,0.2551031395338872,-1.3183353001409215,0.8355608811872062,10,3.273807162960739e-32
PatchTST__ETTm2__h720__s2021,PatchTST,ETTm2,720,10801,200,720,720,10081,False,none,none,False,0.4222567841889555,0.4222567841889555,0.42977296202553017,0.41501640545365215,0.3950237261445326,0.4222567841889555,-1.7800016762296575,-1.7800016762296575,1.7146861830042794,6.4494068690135915,-27.599463211359456,3.494687859233937,0.0,-1.7800016762296575,0.8059716297986311,10,3.106597241856954e-33
PatchTST__Electricity__h96__s2021,PatchTST,Electricity,96,5165,200,96,96,5069,False,none,none,False,0.19280206250836332,0.19280206250836332,0.19280206250836332,0.19280206250836332,0.19232497167619028,0.19280206250836332,0.0,0.0,0.0,0.24745110397865616,0.0,0.0,0.0,0.0,0.0,1,
PatchTST__Electricity__h192__s2021,PatchTST,Electricity,192,5069,200,192,192,4877,False,none,none,False,0.19836134880151762,0.19836134880151762,0.19836134880151762,0.19836134880151762,0.19810796678310685,0.19836134880151762,0.0,0.0,0.0,0.12773759602886578,0.0,0.0,0.0,0.0,0.0,1,
PatchTST__Electricity__h336__s2021,PatchTST,Electricity,336,4925,200,336,336,4589,False,none,none,False,0.20899864730718842,0.20899864730718842,0.20910165518665136,0.2090239680736874,0.2087641301858942,0.20899864730718842,-0.049286385720497164,-0.049286385720497164,-0.012115277694421086,0.11220987519043435,-43.92339393185386,0.03717110802607608,0.0,-0.049286385720497164,0.025059925909784266,2,1.3128610014438802e-20
PatchTST__Electricity__h720__s2021,PatchTST,Electricity,720,4541,200,720,720,3821,False,none,none,False,0.25305897012661027,0.25305897012661027,0.25305897012661027,0.25305897012661027,0.2528946140429575,0.25305897012661027,0.0,0.0,0.0,0.06494774066689024,0.0,0.0,0.0,0.0,0.0,1,
PatchTST__Exchange__h96__s2021,PatchTST,Exchange,96,1422,200,96,96,1326,False,san_lite,none,True,0.08274680244431551,0.08553524744004393,0.0839615530498764,0.08159884979715219,0.0712783983669793,0.08274680244431551,-1.4680332890974006,1.8398197669939624,4.602076641684982,13.859634135005129,-10.592150374746168,2.7622568746910194,3.2599952407343915,-1.4680332890974006,0.6711915535444947,6,0.1940223269178648
PatchTST__Exchange__h192__s2021,PatchTST,Exchange,192,1326,200,192,192,1134,False,san_lite,fredf_sqrth_a01,True,0.1685183878603672,0.16960748546712456,0.17231804198491826,0.16858848304909899,0.15090483198898336,0.1682739939074142,-2.2547415583377526,-1.5981349586738092,0.6008003804862051,10.452008291150854,-21.57232845020519,2.1989353391600144,0.786222115155976,-2.40325197231908,0.6340388007054674,10,0.0009526244532464152
PatchTST__Exchange__h336__s2021,PatchTST,Exchange,336,1182,200,336,336,846,False,san_lite,none,True,0.3445702497594182,0.3610316525360935,0.3469382847084644,0.347294943059308,0.3206950966312812,0.3445702497594182,-0.6872430079766617,3.9036377360794163,3.8048490707817115,6.928965325572223,-9.918407376228592,-0.0987886652977048,4.559545585822008,-0.6872430079766617,0.483451536643026,10,7.477109942793025e-08
PatchTST__Exchange__h720__s2021,PatchTST,Exchange,720,798,200,720,399,399,True,san_lite,none,True,1.038884873677017,1.0784906318462582,1.0763522685321052,1.0530245764213695,0.9747731908969114,1.038884873677017,-3.606501144100825,0.19827370317443838,2.361268116095728,6.171201872747251,-58.44082268595526,2.1629944129212895,3.672332146400159,-3.606501144100825,0.8421052631578947,4,0.13382305582330045
PatchTST__ILI__h24__s2021,PatchTST,ILI,24,170,200,24,24,146,False,fredf_a01,none,True,2.685893581950501,2.686309836600741,2.6922977615709174,2.6861937394084996,2.3154397447631783,2.685893581950501,-0.23843757859397618,-0.22290522443051808,0.004321809445051189,13.792573156162081,-1.7287389082058722,0.22722703387556928,0.015495407289523675,-0.23843757859397618,1.0,7,0.10375530821437719
PatchTST__ILI__h36__s2021,PatchTST,ILI,36,158,200,36,36,122,False,fredf_sqrth_a01,fredf_a01,True,2.898173527395139,2.8994113302133124,2.8965034465320776,2.8948030418059867,2.7343696008940213,2.8953438750544533,0.05762528873010239,0.10029220935064455,0.15893875971661872,5.651970972500298,1.0195609462632915,0.05864655036597417,0.1402855509486624,-0.040049525295230606,0.7786885245901639,4,0.2657173056860642
PatchTST__ILI__h48__s2021,PatchTST,ILI,48,146,200,48,48,98,False,fredf_sqrth_a01,none,True,3.2391536983908438,3.2549030580082716,3.2587891105486424,3.2389848609359895,3.2092480635156435,3.2391536983908438,-0.6061895787022117,-0.11939073057209643,0.48905287772281186,0.9232545800481043,-65.65790105805458,0.6084436082949083,0.48386570465359113,-0.6061895787022117,0.5102040816326531,3,0.25953268686922304
PatchTST__ILI__h60__s2021,PatchTST,ILI,60,134,200,60,60,74,False,none,fredf_sqrth_a01,True,3.7281732414219833,3.7281732414219833,3.7254111074112557,3.719814835367976,3.6646305838146724,3.7205456076441585,0.07408813464025871,0.07408813464025871,0.22419575252401372,1.7043912257429756,4.346897209987475,0.150107617883755,0.2045944027781652,-0.1307738240622368,0.40540540540540543,2,0.2894770717054542
PatchTST__Weather__h96__s2021,PatchTST,Weather,96,10444,200,96,96,10348,False,fredf_sqrth_a01,fredf_sqrth_a01,False,0.18417108052665426,0.18386066294191344,0.1835400327699202,0.1820397673959181,0.172931365066312,0.18386066294191344,0.34264215365740053,0.1743875861541918,0.9903671165162259,6.102866654276144,5.614446014265014,0.8159795303620341,0.0,0.1743875861541918,0.9598956320061848,10,1.2505795717791774e-06
PatchTST__Weather__h192__s2021,PatchTST,Weather,192,10348,200,192,192,10156,False,none,none,False,0.22852173348461058,0.22852173348461058,0.2307723236720321,0.2275362348131903,0.218692204009341,0.22852173348461058,-0.9848473285641487,-0.9848473285641487,0.43124942927248366,4.301354328685117,-22.896214847871285,1.4160967578366324,0.0,-0.9848473285641487,0.7133714060653801,10,1.8161489948386723e-63
PatchTST__Weather__h336__s2021,PatchTST,Weather,336,10204,200,336,336,9868,False,fredf_sqrth_a01,none,True,0.283273423132481,0.2833741894735527,0.28314406844969636,0.2809208097834069,0.2721365149392258,0.283273423132481,0.045664249527453724,0.08120747492318757,0.8657738711824788,3.931504787869697,1.161495457521669,0.7845663962592913,0.03555946335781217,0.045664249527453724,0.7904337251722741,10,2.1223290696770693e-06
PatchTST__Weather__h720__s2021,PatchTST,Weather,720,9820,200,720,720,9100,False,fredf_sqrth_a01,fredf_sqrth_a05,True,0.362027836977453,0.3613631508523946,0.3633266463810271,0.3580946558067104,0.3498710649362305,0.3602754039587555,-0.35875954026468326,-0.543357983235276,0.9044904102605217,3.357966100807339,-10.683834483883485,1.4478483934957977,0.3010121234194152,-0.8469194368351605,0.9381318681318681,11,2.013365689272628e-13
