key,backbone,dataset,pred_len,n_test_windows,eval_start,n_eval_windows,feedback_window,delay_ratio,delay_windows,delay_feasible,insufficient,gain_vs_none,gain_vs_best_fixed,gain_vs_best_fixed_test,gain_oracle_vs_none
DLinear__ETTh1__h336__s2021,DLinear,ETTh1,336,2545,672,1873,3000,0.25,84,False,False,-0.8420932918489898,-0.8420932918489898,-1.2794328452240051,4.797535118554772
DLinear__ETTh1__h336__s2021,DLinear,ETTh1,336,2545,672,1873,3000,0.5,168,False,False,-0.5592536993471782,-0.5592536993471782,-0.9953666127643782,4.797535118554772
DLinear__ETTh1__h336__s2021,DLinear,ETTh1,336,2545,672,1873,3000,1.0,336,True,False,-0.3266640482597794,-0.3266640482597794,-0.7617682494338508,4.797535118554772
DLinear__ETTh1__h336__s2021,DLinear,ETTh1,336,2545,672,1873,3000,2.0,672,True,False,-1.1276427375886413,-1.1276427375886413,-1.5662206832162333,4.797535118554772
DLinear__ETTh1__h336__s2021,DLinear,ETTh1,336,2545,672,1873,1000000000,0.0,0,False,False,0.2962308881071174,0.2962308881071174,-0.1361718955896129,4.797535118554772
DLinear__ETTh1__h336__s2021,DLinear,ETTh1,336,2545,672,1873,1000000000,0.125,42,False,False,-0.41891471976599665,-0.41891471976599665,-0.8544190005710839,4.797535118554772
DLinear__ETTh1__h336__s2021,DLinear,ETTh1,336,2545,672,1873,1000000000,0.25,84,False,False,-0.8420932918489898,-0.8420932918489898,-1.2794328452240051,4.797535118554772
DLinear__ETTh1__h336__s2021,DLinear,ETTh1,336,2545,672,1873,1000000000,0.5,168,False,False,-0.5592536993471782,-0.5592536993471782,-0.9953666127643782,4.797535118554772
DLinear__ETTh1__h336__s2021,DLinear,ETTh1,336,2545,672,1873,1000000000,1.0,336,True,False,-0.3266640482597794,-0.3266640482597794,-0.7617682494338508,4.797535118554772
DLinear__ETTh1__h336__s2021,DLinear,ETTh1,336,2545,672,1873,1000000000,2.0,672,True,False,-1.1276427375886413,-1.1276427375886413,-1.5662206832162333,4.797535118554772
DLinear__ETTh1__h720__s2021,DLinear,ETTh1,720,2161,1080,1081,50,0.0,0,False,False,8.140352959002056,8.140352959002056,1.2107436233720639,9.36280494809607
DLinear__ETTh1__h720__s2021,DLinear,ETTh1,720,2161,1080,1081,50,0.125,90,False,False,6.129404227930372,6.129404227930372,-0.9519048969889077,9.36280494809607
DLinear__ETTh1__h720__s2021,DLinear,ETTh1,720,2161,1080,1081,50,0.25,180,False,False,5.321337378304873,5.321337378304873,-1.8209298252196822,9.36280494809607
DLinear__ETTh1__h720__s2021,DLinear,ETTh1,720,2161,1080,1081,50,0.5,360,False,False,6.168740342956532,6.168740342956532,-0.9096013863903378,9.36280494809607
DLinear__ETTh1__h720__s2021,DLinear,ETTh1,720,2161,1080,1081,50,1.0,720,True,False,6.463090330865141,6.463090330865141,-0.5930465404199103,9.36280494809607
DLinear__ETTh1__h720__s2021,DLinear,ETTh1,720,2161,1080,1081,50,2.0,1440,True,True,,,,9.36280494809607
DLinear__ETTh1__h720__s2021,DLinear,ETTh1,720,2161,1080,1081,200,0.0,0,False,False,6.331675815764375,6.331675815764375,-0.7343745624849821,9.36280494809607
DLinear__ETTh1__h720__s2021,DLinear,ETTh1,720,2161,1080,1081,200,0.125,90,False,False,5.763991239568189,5.763991239568189,-1.3448835176725928,9.36280494809607
DLinear__ETTh1__h720__s2021,DLinear,ETTh1,720,2161,1080,1081,200,0.25,180,False,False,6.22667979481124,6.22667979481124,-0.8472911604318007,9.36280494809607
DLinear__ETTh1__h720__s2021,DLinear,ETTh1,720,2161,1080,1081,200,0.5,360,False,False,7.659212698304111,7.659212698304111,0.6933076207495696,9.36280494809607
DLinear__ETTh1__h720__s2021,DLinear,ETTh1,720,2161,1080,1081,200,1.0,720,True,False,6.442658551176391,6.442658551176391,-0.6150196307476121,9.36280494809607
DLinear__ETTh1__h720__s2021,DLinear,ETTh1,720,2161,1080,1081,200,2.0,1440,True,True,,,,9.36280494809607
DLinear__ETTh1__h720__s2021,DLinear,ETTh1,720,2161,1080,1081,1000,0.0,0,False,False,7.014537399908433,7.014537399908433,0.0,9.36280494809607
DLinear__ETTh1__h720__s2021,DLinear,ETTh1,720,2161,1080,1081,1000,0.125,90,False,False,7.014537399908433,7.014537399908433,0.0,9.36280494809607
DLinear__ETTh1__h720__s2021,DLinear,ETTh1,720,2161,1080,1081,1000,0.25,180,False,False,7.014537399908433,7.014537399908433,0.0,9.36280494809607
DLinear__ETTh1__h720__s2021,DLinear,ETTh1,720,2161,1080,1081,1000,0.5,360,False,False,7.014537399908433,7.014537399908433,0.0,9.36280494809607
DLinear__ETTh1__h720__s2021,DLinear,ETTh1,720,2161,1080,1081,1000,1.0,720,True,False,6.506975505076906,6.506975505076906,-0.54585080359758,9.36280494809607
DLinear__ETTh1__h720__s2021,DLinear,ETTh1,720,2161,1080,1081,1000,2.0,1440,True,True,,,,9.36280494809607
DLinear__ETTh1__h720__s2021,DLinear,ETTh1,720,2161,1080,1081,3000,0.0,0,False,False,7.014537399908433,7.014537399908433,0.0,9.36280494809607
DLinear__ETTh1__h720__s2021,DLinear,ETTh1,720,2161,1080,1081,3000,0.125,90,False,False,7.014537399908433,7.014537399908433,0.0,9.36280494809607
DLinear__ETTh1__h720__s2021,DLinear,ETTh1,720,2161,1080,1081,3000,0.25,180,False,False,7.014537399908433,7.014537399908433,0.0,9.36280494809607
DLinear__ETTh1__h720__s2021,DLinear,ETTh1,720,2161,1080,1081,3000,0.5,360,False,False,7.014537399908433,7.014537399908433,0.0,9.36280494809607
DLinear__ETTh1__h720__s2021,DLinear,ETTh1,720,2161,1080,1081,3000,1.0,720,True,False,6.506975505076906,6.506975505076906,-0.54585080359758,9.36280494809607
DLinear__ETTh1__h720__s2021,DLinear,ETTh1,720,2161,1080,1081,3000,2.0,1440,True,True,,,,9.36280494809607
DLinear__ETTh1__h720__s2021,DLinear,ETTh1,720,2161,1080,1081,1000000000,0.0,0,False,False,7.014537399908433,7.014537399908433,0.0,9.36280494809607
DLinear__ETTh1__h720__s2021,DLinear,ETTh1,720,2161,1080,1081,1000000000,0.125,90,False,False,7.014537399908433,7.014537399908433,0.0,9.36280494809607
DLinear__ETTh1__h720__s2021,DLinear,ETTh1,720,2161,1080,1081,1000000000,0.25,180,False,False,7.014537399908433,7.014537399908433,0.0,9.36280494809607
DLinear__ETTh1__h720__s2021,DLinear,ETTh1,720,2161,1080,1081,1000000000,0.5,360,False,False,7.014537399908433,7.014537399908433,0.0,9.36280494809607
DLinear__ETTh1__h720__s2021,DLinear,ETTh1,720,2161,1080,1081,1000000000,1.0,720,True,False,6.506975505076906,6.506975505076906,-0.54585080359758,9.36280494809607
DLinear__ETTh1__h720__s2021,DLinear,ETTh1,720,2161,1080,1081,1000000000,2.0,1440,True,True,,,,9.36280494809607
DLinear__ETTh2__h96__s2021,DLinear,ETTh2,96,2785,192,2593,50,0.0,0,False,False,19.74372365867608,6.099028103921837,6.099028103921837,23.942325064299233
DLinear__ETTh2__h96__s2021,DLinear,ETTh2,96,2785,192,2593,50,0.125,12,False,False,17.493386743162443,3.4661022681694744,3.4661022681694744,23.942325064299233
DLinear__ETTh2__h96__s2021,DLinear,ETTh2,96,2785,192,2593,50,0.25,24,False,False,15.792258299555607,1.4757580676063615,1.4757580676063615,23.942325064299233
DLinear__ETTh2__h96__s2021,DLinear,ETTh2,96,2785,192,2593,50,0.5,48,False,False,13.837627582688697,-0.8111873574609791,-0.8111873574609791,23.942325064299233
DLinear__ETTh2__h96__s2021,DLinear,ETTh2,96,2785,192,2593,50,1.0,96,True,False,11.135586614245458,-3.972613287076379,-3.972613287076379,23.942325064299233
DLinear__ETTh2__h96__s2021,DLinear,ETTh2,96,2785,192,2593,50,2.0,192,True,False,9.165217227467744,-6.277973177259079,-6.277973177259079,23.942325064299233
DLinear__ETTh2__h96__s2021,DLinear,ETTh2,96,2785,192,2593,200,0.0,0,False,False,14.641537316760568,0.12939833611172052,0.12939833611172052,23.942325064299233
DLinear__ETTh2__h96__s2021,DLinear,ETTh2,96,2785,192,2593,200,0.125,12,False,False,13.23708336198883,-1.5138325406297186,-1.5138325406297186,23.942325064299233
DLinear__ETTh2__h96__s2021,DLinear,ETTh2,96,2785,192,2593,200,0.25,24,False,False,11.894772525580372,-3.084355095019544,-3.084355095019544,23.942325064299233
DLinear__ETTh2__h96__s2021,DLinear,ETTh2,96,2785,192,2593,200,0.5,48,False,False,10.542726379529284,-4.666268098590744,-4.666268098590744,23.942325064299233
DLinear__ETTh2__h96__s2021,DLinear,ETTh2,96,2785,192,2593,200,1.0,96,True,False,9.253083880198735,-6.175167957968747,-6.175167957968747,23.942325064299233
DLinear__ETTh2__h96__s2021,DLinear,ETTh2,96,2785,192,2593,200,2.0,192,True,False,10.997480667410986,-4.134199186940857,-4.134199186940857,23.942325064299233
DLinear__ETTh2__h96__s2021,DLinear,ETTh2,96,2785,192,2593,1000,0.0,0,False,False,14.726418066548867,0.22871000697085195,0.22871000697085195,23.942325064299233
DLinear__ETTh2__h96__s2021,DLinear,ETTh2,96,2785,192,2593,1000,0.125,12,False,False,14.010301578297987,-0.6091563544284733,-0.6091563544284733,23.942325064299233
DLinear__ETTh2__h96__s2021,DLinear,ETTh2,96,2785,192,2593,1000,0.25,24,False,False,13.657098192468991,-1.022409282651499,-1.022409282651499,23.942325064299233
DLinear__ETTh2__h96__s2021,DLinear,ETTh2,96,2785,192,2593,1000,0.5,48,False,False,13.879674416313463,-0.7619919708506329,-0.7619919708506329,23.942325064299233
DLinear__ETTh2__h96__s2021,DLinear,ETTh2,96,2785,192,2593,1000,1.0,96,True,False,14.070543030230427,-0.5386730085424888,-0.5386730085424888,23.942325064299233
DLinear__ETTh2__h96__s2021,DLinear,ETTh2,96,2785,192,2593,1000,2.0,192,True,False,14.185910003953685,-0.4036920269772436,-0.4036920269772436,23.942325064299233
DLinear__ETTh2__h96__s2021,DLinear,ETTh2,96,2785,192,2593,3000,0.0,0,False,False,14.548233571377898,0.020231641961648433,0.020231641961648433,23.942325064299233
DLinear__ETTh2__h96__s2021,DLinear,ETTh2,96,2785,192,2593,3000,0.125,12,False,False,14.20353011478249,-0.38307624953069713,-0.38307624953069713,23.942325064299233
