cell,backbone,dataset,pred_len,seed_a,seed_b,n_arms,n_test_windows,arms,argmin_agree,chance_agree,excess_agree,z_agree,self_oracle_gain_pct,xseed_oracle_gain_pct,reproducible_frac,noise_frac,adv_corr_across_seeds,same_arm_err_corr,seed_mse_gap_pct,best_fixed_arm_a,best_fixed_arm_b
PatchTST__Exchange__h336,PatchTST,Exchange,336,2021,2022,3,1182,"fredf,none,san_lite",0.8062605752961083,0.35304597158162054,0.45321460371448774,32.60320485987985,6.153822687841101,5.3049051068659026,0.8620503670584279,0.13794963294157214,0.8919065630216801,0.9977974104287521,1.4851189727122822,none,none
PatchTST__Exchange__h720,PatchTST,Exchange,720,2021,2022,3,798,"fredf,none,san_lite",0.8208020050125313,0.376027788770171,0.4447742162423603,25.93871479522342,5.571631002169784,4.974781323789037,0.8928770268260202,0.10712297317397979,0.7822778470198151,0.9961398374877973,0.12070321348940889,none,none
PatchTST__ILI__h24,PatchTST,ILI,24,2021,2022,3,170,"fredf,none,san_lite",0.8823529411764706,0.3658131487889273,0.5165397923875432,13.98266560928978,10.564626093836726,10.207088020986966,0.9661570537684866,0.033842946231513404,0.9577533066968001,0.9962826623807515,2.5043637673471895,none,none
PatchTST__ILI__h36,PatchTST,ILI,36,2021,2022,3,158,"fredf,none,san_lite",0.8164556962025317,0.41099182823265495,0.4054638679698767,10.358656910954902,4.779972706497481,4.450967989071491,0.9311701681938959,0.06882983180610414,0.9319517775217239,0.99477672877991,2.010046893910528,none,none
PatchTST__ILI__h48,PatchTST,ILI,48,2021,2022,3,146,"fredf,none,san_lite",0.815068493150685,0.6439763557890786,0.17109213736160633,4.317497531670265,0.758538379673295,0.45885555517766663,0.6049206836116813,0.3950793163883187,0.7396955381792276,0.9958655779673745,1.2832057449731484,none,none
PatchTST__ILI__h60,PatchTST,ILI,60,2021,2022,3,134,"fredf,none,san_lite",0.9477611940298507,0.7175874359545555,0.23017375807529517,5.918733528699183,1.0183631436087255,0.9495408757591918,0.93241873659562,0.06758126340437998,0.8125351112363534,0.9968441181318658,1.931742969951334,none,none
iTransformer__ETTh1__h96,iTransformer,ETTh1,96,2021,2022,3,2785,"fredf,none,san_lite",0.5342908438061041,0.3600214021640682,0.17426944164203595,19.159622796908902,4.7029339992943875,0.8000380745509698,0.1701146719624398,0.8298853280375602,0.27076480713912404,0.9754251986884942,0.7808815363550825,fredf,fredf
iTransformer__ETTh1__h192,iTransformer,ETTh1,192,2021,2022,3,2689,"fredf,none,san_lite",0.5440684269245073,0.3832722905502785,0.1607961363742288,17.150254474808175,3.2210416987753954,-0.2073529587742277,-0.06437450308484396,1.064374503084844,0.2812402772184199,0.9726994565843176,2.6099844042951363,fredf,fredf
iTransformer__ETTh1__h336,iTransformer,ETTh1,336,2021,2022,3,2545,"fredf,none,san_lite",0.6715127701375245,0.46805192198578827,0.20346084815173626,20.570417458112658,2.250829768159841,0.28445641969215907,0.12637846882783835,0.8736215311721617,0.49736671352978623,0.9805567534181123,0.7508158348920322,fredf,fredf
iTransformer__ETTh1__h720,iTransformer,ETTh1,720,2021,2022,3,2161,"fredf,none,san_lite",0.6552521980564553,0.44118840554262057,0.21406379251383473,20.041298166198757,2.2071189062212424,0.2060613372872338,0.09336213681392756,0.9066378631860724,0.48196109979766916,0.9485715803752175,3.1974507312337854,fredf,fredf
iTransformer__ETTh2__h96,iTransformer,ETTh2,96,2021,2022,3,2785,"fredf,none,san_lite",0.6861759425493716,0.38235107929437323,0.3038248632549984,32.99391925343057,6.207122043314927,3.9467209430665893,0.6358374969148882,0.3641625030851118,0.6932557462470601,0.9909293574812343,0.5285141681964488,fredf,fredf
iTransformer__ETTh2__h192,iTransformer,ETTh2,192,2021,2022,3,2689,"fredf,none,san_lite",0.550762365191521,0.38903492473295537,0.16172744045856563,17.201908227727703,6.417515607081709,2.0942873012544108,0.3263392610909074,0.6736607389090926,0.47991264173882475,0.9733806225022666,1.0150996670869419,fredf,fredf
iTransformer__ETTh2__h336,iTransformer,ETTh2,336,2021,2022,3,2545,"fredf,none,san_lite",0.45972495088408644,0.35863332316920193,0.1010916277148845,10.633606046723916,5.3931587456417684,-1.7354146727322222,-0.32178075124056327,1.3217807512405633,0.03164592468947865,0.962168139045375,1.9158157293239146,fredf,fredf
iTransformer__ETTh2__h720,iTransformer,ETTh2,720,2021,2022,3,2161,"fredf,none,san_lite",0.5844516427579824,0.33793483872639385,0.2465168040315886,24.227414022992907,6.194131138453422,2.420464001134109,0.39076731619512683,0.6092326838048732,0.5796527725771309,0.9597563320671466,1.2037065771188646,fredf,fredf
iTransformer__Exchange__h96,iTransformer,Exchange,96,2021,2022,3,1422,"fredf,none,san_lite",0.509142053445851,0.32409781196033394,0.185044241485517,14.908892972045019,11.95763578861909,1.3893876408512744,0.11619250371997873,0.8838074962800213,0.46490795598629636,0.9263365022155465,9.49802627452506,fredf,none
iTransformer__Exchange__h192,iTransformer,Exchange,192,2021,2022,3,1326,"fredf,none,san_lite",0.6327300150829562,0.33298412763411434,0.2997458874488419,23.160351417729203,10.931433214449005,7.448329465362131,0.6813680621052545,0.31863193789474553,0.6920593660008786,0.9816245137572562,0.5819673131753608,none,fredf
iTransformer__Exchange__h336,iTransformer,Exchange,336,2021,2022,3,1182,"fredf,none,san_lite",0.6252115059221658,0.34217363669939105,0.28303786922277474,20.510411530987525,8.81824019201899,5.982158562526013,0.6783846246261479,0.3216153753738521,0.7748498503346146,0.9816451796388789,2.470328249534201,none,fredf
iTransformer__Exchange__h720,iTransformer,Exchange,720,2021,2022,3,798,"fredf,none,san_lite",0.5977443609022557,0.3592706704103617,0.23847369049189399,14.040860804347233,7.618106208298288,3.5534198216954547,0.46644398549140315,0.5335560145085969,0.5180325465621367,0.9508995116858144,0.7751586619199757,none,none
iTransformer__ILI__h24,iTransformer,ILI,24,2021,2022,3,170,"fredf,none,san_lite",0.8529411764705882,0.3580622837370242,0.494878892733564,13.458530918434217,26.736835483799545,26.587261289265147,0.9944056881890518,0.0055943118109481604,0.9290065252915816,0.9867505383855559,3.7305468190508764,none,none
iTransformer__ILI__h36,iTransformer,ILI,36,2021,2022,3,158,"fredf,none,san_lite",0.6075949367088608,0.4123537894568179,0.1952411472520429,4.985479438529516,7.671728469977047,2.264399252718865,0.2951615482196074,0.7048384517803926,0.8058338845042552,0.9805440587331997,3.784731267185885,none,none
iTransformer__ILI__h48,iTransformer,ILI,48,2021,2022,3,146,"fredf,none,san_lite",0.5273972602739726,0.418277350347157,0.10911990992681558,2.6729464970365417,4.293572294708753,1.0054895616638015,0.23418484484421784,0.7658151551557821,0.7767668590155895,0.9854132855618271,2.1063307289634166,none,none
iTransformer__ILI__h60,iTransformer,ILI,60,2021,2022,3,134,"fredf,none,san_lite",0.6492537313432836,0.4081644018712408,0.24108932947204276,5.678220899604187,2.545922233488467,1.0451500390074544,0.4105192316009479,0.5894807683990522,0.4677674612440524,0.9939286323454163,0.9221117954405891,none,none
