key,backbone,dataset,pred_len,n_test_windows,feedback_window,delay_windows,eval_start,n_eval_windows,insufficient,best_fixed_val,best_fixed_test,arm_id_mismatch,mse_none,mse_best_fixed,mse_online,mse_online_nodelay,mse_oracle,mse_best_fixed_test,gain_online_vs_none,gain_online_vs_best_fixed,gain_nodelay_vs_best_fixed,gain_oracle_vs_none,oracle_realized_pct,delay_cost_pp,gain_bestfixed_test_vs_val,gain_online_vs_best_fixed_test,switch_rate,n_distinct_choices,wilcoxon_p_online_vs_best_fixed
PatchTST__Electricity__h336__s2021,PatchTST,Electricity,336,4925,200,336,336,4589,False,none,none,False,0.20899864730718842,0.20899864730718842,0.20899864730718842,0.20899864730718842,0.20882337226388917,0.20899864730718842,0.0,0.0,0.0,0.08386419986766509,0.0,0.0,0.0,0.0,0.0,1,
PatchTST__Electricity__h720__s2021,PatchTST,Electricity,720,4541,200,720,720,3821,False,none,none,False,0.25305897012661027,0.25305897012661027,0.25305897012661027,0.25305897012661027,0.25289928139784795,0.25305897012661027,0.0,0.0,0.0,0.06310336625561744,0.0,0.0,0.0,0.0,0.0,1,
PatchTST__Exchange__h96__s2021,PatchTST,Exchange,96,1422,200,96,96,1326,False,san_lite,none,True,0.08274680244431551,0.08553524744004393,0.08409829895457374,0.08335586254475119,0.07241051896794125,0.08274680244431551,-1.6332915234415122,1.6799489432243908,2.5479377923059134,12.491459695019818,-13.075265526691558,0.8679888490815226,3.2599952407343915,-1.6332915234415122,0.31825037707390647,3,0.04206875265762505
PatchTST__Exchange__h192__s2021,PatchTST,Exchange,192,1326,200,192,192,1134,False,san_lite,none,True,0.1685183878603672,0.16960748546712456,0.17152421158858341,0.17187435678460977,0.15239744409557426,0.1685183878603672,-1.7836770018764727,-1.130095240884326,-1.3365396646430656,9.566281738972576,-18.645457560581917,-0.20644442375873973,0.6421282667751307,-1.7836770018764727,0.30776014109347444,3,0.0005035373065635979
PatchTST__Exchange__h336__s2021,PatchTST,Exchange,336,1182,200,336,336,846,False,san_lite,none,True,0.3445702497594182,0.3610316525360935,0.345328025775246,0.346213568609657,0.3228642310568486,0.3445702497594182,-0.21991916491766575,4.349653735480722,4.104372517563127,6.299446547594267,-3.4910870859205922,-0.2452812179175945,4.559545585822008,-0.21991916491766575,0.2470449172576832,3,4.950714961975355e-10
PatchTST__Exchange__h720__s2021,PatchTST,Exchange,720,798,200,720,399,399,True,san_lite,none,True,1.038884873677017,1.0784906318462582,1.075993127243262,1.0400711908973848,0.9778095448674414,1.038884873677017,-3.5719312607631455,0.2315740655733353,3.562334230299978,5.878931377001146,-60.75817238960035,3.3307601647266427,3.672332146400159,-3.5719312607631455,0.8320802005012531,2,0.10704147503900295
PatchTST__ILI__h24__s2021,PatchTST,ILI,24,170,200,24,24,146,False,none,none,False,2.685893581950501,2.685893581950501,2.686581356374368,2.685893581950501,2.330453333381104,2.685893581950501,-0.025606912667299225,-0.025606912667299225,0.0,13.233593875716533,-0.1934993087117138,0.025606912667299225,0.0,-0.025606912667299225,0.10273972602739725,2,0.9547075542182767
PatchTST__ILI__h36__s2021,PatchTST,ILI,36,158,200,36,36,122,False,none,none,False,2.898173527395139,2.898173527395139,2.898173527395139,2.898173527395139,2.741676680132991,2.898173527395139,0.0,0.0,0.0,5.399843928695071,0.0,0.0,0.0,0.0,0.0,1,
PatchTST__ILI__h48__s2021,PatchTST,ILI,48,146,200,48,48,98,False,none,none,False,3.2391536983908438,3.2391536983908438,3.2391536983908438,3.2391536983908438,3.2154968107233244,3.2391536983908438,0.0,0.0,0.0,0.7303416222349813,0.0,0.0,0.0,0.0,0.0,1,
PatchTST__ILI__h60__s2021,PatchTST,ILI,60,134,200,60,60,74,False,none,none,False,3.7281732414219833,3.7281732414219833,3.7281732414219833,3.7281732414219833,3.6854462575268103,3.7281732414219833,0.0,0.0,0.0,1.146056825376085,0.0,0.0,0.0,0.0,0.0,1,
