key,backbone,dataset,pred_len,gain_full,gain_drop_w_pc,delta_drop_w_pc,gain_drop_w_ns,delta_drop_w_ns,gain_drop_w_fr,delta_drop_w_fr,gain_drop_w_sd,delta_drop_w_sd,gain_drop_w_ch,delta_drop_w_ch
DLinear__Exchange__h336__s2021,DLinear,Exchange,336,-2.7621215644449317,-2.0654520364656284,0.6966695279793034,-3.783549761269292,-1.0214281968243601,-2.7490300278277306,0.013091536617201083,-2.3419660986632143,0.4201554657817175,-2.370162794244159,0.39195877020077274
DLinear__Exchange__h720__s2021,DLinear,Exchange,720,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLinear__ILI__h24__s2021,DLinear,ILI,24,2.3418510711537857,2.7709320533033712,0.42908098214958557,3.0936566780786277,0.751805606924842,2.3608423019669584,0.018991230813172777,2.461016804080626,0.1191657329268403,1.6541399289117127,-0.687711142242073
DLinear__ILI__h36__s2021,DLinear,ILI,36,-0.46527858162343855,-0.4676759384726908,-0.0023973568492522412,0.1472230905594079,0.6125016721828465,-0.46527858162343855,0.0,-0.6683255868922652,-0.20304700526882663,-0.7522033225241868,-0.2869247409007482
DLinear__ILI__h48__s2021,DLinear,ILI,48,0.0,0.0,0.0,-0.0236808823326384,-0.0236808823326384,0.0,0.0,0.0,0.0,0.0,0.0
DLinear__ILI__h60__s2021,DLinear,ILI,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLinear__Weather__h96__s2021,DLinear,Weather,96,0.8488913137936605,0.6834836103204558,-0.16540770347320466,0.7946829397866704,-0.05420837400699008,0.7837506376096257,-0.06514067618403474,0.6404010443806779,-0.20849026941298254,0.3515421707280266,-0.4973491430656338
DLinear__Weather__h192__s2021,DLinear,Weather,192,0.6717860625740912,0.3061037455605607,-0.36568231701353054,0.9687820291270762,0.296995966552985,0.6113329896040888,-0.060453072970002464,0.4539828651246508,-0.21780319744944043,0.6446179547664611,-0.027168107807630126
DLinear__Weather__h336__s2021,DLinear,Weather,336,0.1371486850481283,0.13916700981780333,0.002018324769675034,0.8521251739872456,0.7149764889391174,0.2962567244148447,0.1591080393667164,0.24191568018310036,0.10476699513497206,0.4266774749598769,0.2895287899117486
DLinear__Weather__h720__s2021,DLinear,Weather,720,0.24984059652422108,0.38957276065442886,0.13973216413020778,-0.0014035989036592228,-0.2512441954278803,0.03561524887490386,-0.21422534764931722,0.27123625511870203,0.02139565859448095,0.2585472092619662,0.008706612737745145
PatchTST__ETTh1__h96__s2021,PatchTST,ETTh1,96,-0.6117906041262401,-0.16128525935286206,0.450505344773378,-0.14902726236935923,0.46276334175688083,-0.6740789926044194,-0.0622883884781793,-0.6656758793885257,-0.05388527526228559,-0.40384989986363556,0.20794070426260453
PatchTST__ETTh1__h192__s2021,PatchTST,ETTh1,192,-0.6443954554825672,-0.40233002140843027,0.2420654340741369,-0.2833415441322675,0.3610539113502997,-0.5509428413068005,0.09345261417576667,-0.23381211727963147,0.4105833382029357,-0.8160652088997331,-0.17166975341716595
PatchTST__ETTh1__h336__s2021,PatchTST,ETTh1,336,0.13031041996540496,-0.3060015573419739,-0.4363119773073788,-0.40352457141874154,-0.5338349913841465,0.1908849535189513,0.060574533553546334,0.04465144577747725,-0.08565897418792771,0.24317832956989494,0.11286790960448997
PatchTST__ETTh1__h720__s2021,PatchTST,ETTh1,720,0.0885619747342442,-0.15368642806503577,-0.24224840279927995,-0.046042831783684866,-0.13460480651792905,0.28234420242371433,0.19378222768947012,0.06840076749099255,-0.02016120724325164,-0.04373908832497139,-0.13230106305921557
PatchTST__ETTh2__h96__s2021,PatchTST,ETTh2,96,-2.3250021912960532,-1.975828305846374,0.3491738854496793,-1.7571022363343254,0.5678999549617278,-1.7634850542835698,0.5615171370124834,-1.990737788592967,0.3342644027030863,-2.1169495636737774,0.20805262762227583
PatchTST__ETTh2__h192__s2021,PatchTST,ETTh2,192,-1.2993038734465063,-0.12200486010788666,1.1772990133386196,-1.1549308174752058,0.14437305597130057,-1.5355935039853794,-0.23628963053887309,-1.4228612225042827,-0.12355734905777638,-1.22386075298285,0.07544312046365631
PatchTST__ETTh2__h336__s2021,PatchTST,ETTh2,336,0.4377135209761554,0.6364999782341824,0.19878645725802696,0.3112402114315636,-0.1264733095445918,-0.032182155372490834,-0.46989567634864626,0.04488605786516481,-0.3928274631109906,0.4099356879987574,-0.027777832977397998
PatchTST__ETTh2__h720__s2021,PatchTST,ETTh2,720,-0.3805696170251359,-0.26441070458022,0.11615891244491594,-0.8714290032055817,-0.4908593861804458,-0.5155681851842813,-0.13499856815914535,-0.05645085669399782,0.3241187603311381,-0.13379118994512873,0.2467784270800072
PatchTST__ETTm1__h96__s2021,PatchTST,ETTm1,96,-2.852261979399232,-3.083607319436002,-0.23134534003677,-4.558814783748321,-1.7065528043490894,-3.5231064706355713,-0.6708444912363394,-3.366211445497935,-0.513949466098703,-2.894484905740896,-0.042222926341664024
PatchTST__ETTm1__h192__s2021,PatchTST,ETTm1,192,-2.071687658475183,-1.8280829901749063,0.24360466830027683,-2.9651822809880746,-0.8934946225128915,-2.1418928762958274,-0.07020521782064426,-2.058111242080587,0.013576416394596169,-1.809602103357392,0.2620855551177912
