key,backbone,dataset,pred_len,seed,n_arms,arms,n_val_windows,n_test_windows,mse_none,mse_gate,mse_oracle,best_fixed_val,mse_best_fixed,gain_gate_vs_none,gain_gate_vs_best_fixed,gain_bestfixed_vs_none,gain_oracle_vs_none,oracle_realized_pct,switch_rate,n_distinct_choices,oracle_arm_entropy,gate_acc,majority_acc,mse_fixed_fredf,mse_fixed_none,mse_fixed_revin,mse_fixed_san_lite,wilcoxon_p_gate_vs_best_fixed
DLinear__Exchange__h336__s2021,DLinear,Exchange,336,2021,4,fredf|none|revin|san_lite,425,1182,0.3269648065699135,0.332820622537241,0.22923919874954143,revin,0.3238748066606356,-1.7909621615675169,-2.7621215644449317,0.9450558124847339,29.888723757545122,-5.992099816898603,1.0,2,0.9118935422226554,0.28849407783417935,0.38155668358714045,0.3120596443386449,0.3269648065699135,0.3238748066606356,0.3459409778203355,1.9259061031058003e-29
DLinear__Exchange__h720__s2021,DLinear,Exchange,720,2021,4,fredf|none|revin|san_lite,41,798,0.749057583828319,0.8817172627475925,0.5543054330319092,san_lite,0.8817172627475925,-17.710211041598843,0.0,-17.710211041598843,25.9996233935449,-68.11718298160017,1.0,1,0.544069033685702,0.017543859649122806,0.7606516290726817,0.5621336390425388,0.749057583828319,0.873229348383153,0.8817172627475925,
DLinear__ILI__h24__s2021,DLinear,ILI,24,2021,4,fredf|none|revin|san_lite,74,170,4.775721829779008,4.684174447901109,4.292503416362931,revin,4.796501366531148,1.9169328771838547,2.3418510711537857,-0.4351077699409668,10.118227791302003,18.9453421757094,0.8294117647058824,3,0.9370361898602202,0.3411764705882353,0.3411764705882353,4.7826216655619005,4.775721829779008,4.796501366531148,5.259994735963204,0.00183112299969243
DLinear__ILI__h36__s2021,DLinear,ILI,36,2021,4,fredf|none|revin|san_lite,62,158,4.413906288297871,4.384329417838326,4.083243228966677,revin,4.36402454632747,0.6700837880938321,-0.46527858162343855,1.130104236753637,7.491392832869407,8.94471566291025,0.9936708860759493,3,0.9430450551701235,0.4050632911392405,0.4240506329113924,4.429152248026449,4.413906288297871,4.36402454632747,5.041636179519605,0.08509359563521411
DLinear__ILI__h48__s2021,DLinear,ILI,48,2021,4,fredf|none|revin|san_lite,50,146,4.110672342450651,4.008537466395391,3.884848122727381,revin,4.008537466395391,2.484627028053164,0.0,2.484627028053164,5.4936078799359125,45.22760055585086,1.0,1,0.7640510792365507,0.5547945205479452,0.5547945205479452,4.172562605714145,4.110672342450651,4.008537466395391,4.602381866272181,
DLinear__ILI__h60__s2021,DLinear,ILI,60,2021,4,fredf|none|revin|san_lite,38,134,4.236840344187039,4.02952110500478,3.9328428791530095,revin,4.02952110500478,4.893251157472874,0.0,4.893251157472874,7.17509843039149,68.19768683214834,1.0,1,0.6685721829426023,0.6268656716417911,0.6268656716417911,4.281345416360827,4.236840344187039,4.02952110500478,4.24513829288198,
DLinear__Weather__h96__s2021,DLinear,Weather,96,2021,4,fredf|none|revin|san_lite,5175,10444,0.19601411803324834,0.19435017121144635,0.1745577818695891,none,0.19601411803324834,0.8488913137936605,0.8488913137936605,0.0,10.946321815406334,7.7550370623978,0.4708923783990808,4,0.9701374848308447,0.27096897740329373,0.30314055917273075,0.19471784277360035,0.19601411803324834,0.1950535423442299,0.20139735036845988,9.542346474032781e-63
DLinear__Weather__h192__s2021,DLinear,Weather,192,2021,4,fredf|none|revin|san_lite,5079,10348,0.23661389716536924,0.23502435798209217,0.21452612577493663,none,0.23661389716536924,0.6717860625740912,0.6717860625740912,0.0,9.334942560411884,7.196467018368411,0.2537688442211055,4,0.9950183062840244,0.27435253189022035,0.279860842674913,0.23414394015264145,0.23661389716536924,0.24028358038422692,0.24503595207554693,6.7468792252295e-62
DLinear__Weather__h336__s2021,DLinear,Weather,336,2021,4,fredf|none|revin|san_lite,4935,10204,0.2818512427114952,0.2814646874383232,0.25820246212708686,none,0.2818512427114952,0.1371486850481283,0.1371486850481283,0.0,8.390518472374266,1.6345674643812556,0.2180517444139553,4,0.9891134977076641,0.2892003136025088,0.29860838886711094,0.27975024257814685,0.2818512427114952,0.2919773756873603,0.2971289286938299,2.5908597125226486e-07
DLinear__Weather__h720__s2021,DLinear,Weather,720,2021,4,fredf|none|revin|san_lite,4551,9820,0.34616671327023546,0.3453018482888303,0.31684808254909613,none,0.34616671327023546,0.24984059652422108,0.24984059652422108,0.0,8.469511826854076,2.949881901381092,0.20743380855397148,4,0.9802363195164917,0.29439918533604886,0.31771894093686354,0.34318443802308646,0.34616671327023546,0.3644344322110266,0.3700593011958293,7.743925207918967e-21
